Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
adult,fair_centroid,5,30,249926.8351,0.0,0.1618,0.0,3379.0906,0.0,1.7105,0.0,112017.1649,0.0,0.4482,0.0,0.4402,0.0,0.142,0.0,0.6507,0.0,0.8433,0.0
adult,postprocessing_nfp,5,30,252108.6367,0.0,0.1625,0.0,3284.6009,0.0,1.8065,0.0,109835.3633,0.0,0.4357,0.0,0.4398,0.0,0.1499,0.0,0.6466,0.0,0.8324,0.0
adult,postprocessing_gini,5,30,256070.0597,0.0,0.1516,0.0,3117.1551,0.0,1.8866,0.0,105873.9403,0.0,0.4135,0.0,0.5054,0.0,0.1247,0.0,0.6743,0.0,0.8556,0.0
adult,rawlsian,5,30,261371.4006,0.0,0.1418,0.0,2901.0135,0.0,1.851,0.0,100572.5994,0.0,0.3848,0.0,0.4371,0.0,0.1935,0.0,0.5268,0.0,0.7699,0.0
compas,fair_centroid,2,30,193808.6717,0.0,0.1786,0.0,1990.2929,0.0,2.0082,0.0,41066.3283,0.0,0.2119,0.0,0.2574,0.0,0.0964,0.0,0.8216,0.0,0.7243,0.0
compas,postprocessing_nfp,2,30,195168.591,0.0,0.1743,0.0,1910.975,0.0,2.0467,0.0,39706.409,0.0,0.2034,0.0,0.2589,0.0,0.0748,0.0,0.86,0.0,0.729,0.0
compas,postprocessing_gini,2,30,193334.8244,0.0,0.1795,0.0,2018.1924,0.0,1.9966,0.0,41540.1756,0.0,0.2149,0.0,0.2622,0.0,0.0938,0.0,0.8283,0.0,0.7306,0.0
compas,rawlsian,2,30,193335.1403,0.0,0.1794,0.0,2018.1737,0.0,1.9962,0.0,41539.8597,0.0,0.2149,0.0,0.2624,0.0,0.0937,0.0,0.8286,0.0,0.7309,0.0
german,fair_centroid,2,30,18432.5972,0.0,0.0736,0.0,84.8642,0.0,3.2728,0.0,1567.4028,0.0,0.085,0.0,0.518,0.0,0.2228,0.0,0.6337,0.0,0.8797,0.0
german,postprocessing_nfp,2,30,18476.3782,0.0,0.0731,0.0,82.2983,0.0,3.3255,0.0,1523.6218,0.0,0.0825,0.0,0.4403,0.0,0.2012,0.0,0.6498,0.0,0.8469,0.0
german,postprocessing_gini,2,30,18344.1529,0.0,0.0816,0.0,90.0851,0.0,3.2336,0.0,1655.8471,0.0,0.0903,0.0,0.4563,0.0,0.2059,0.0,0.6517,0.0,0.8564,0.0
german,rawlsian,2,30,18344.1619,0.0,0.0815,0.0,90.0846,0.0,3.234,0.0,1655.8381,0.0,0.0903,0.0,0.4561,0.0,0.2027,0.0,0.6564,0.0,0.8577,0.0
credit,fair_centroid,2,30,573964.2179,0.0,0.1237,0.0,4496.6242,0.0,2.5252,0.0,86035.7821,0.0,0.1499,0.0,0.656,0.0,0.0439,0.0,0.9157,0.0,0.9669,0.0
credit,postprocessing_nfp,2,30,576288.3903,0.0,0.1321,0.0,4357.5073,0.0,2.424,0.0,83711.6097,0.0,0.1453,0.0,0.6378,0.0,0.0453,0.0,0.9037,0.0,0.962,0.0
credit,postprocessing_gini,2,30,580419.1961,0.0,0.1283,0.0,4113.0014,0.0,2.5165,0.0,79580.8039,0.0,0.1371,0.0,0.6679,0.0,0.0244,0.0,0.9479,0.0,0.9706,0.0
credit,rawlsian,2,30,572434.3212,0.0,0.1383,0.0,4588.8151,0.0,2.4359,0.0,87565.6788,0.0,0.153,0.0,0.6422,0.0,0.0484,0.0,0.9016,0.0,0.963,0.0
law,fair_centroid,4,30,100631.6352,0.0,0.2805,0.0,5341.4514,0.0,1.2311,0.0,86288.3648,0.0,0.8575,0.0,0.7214,0.0,0.0262,0.0,0.8187,0.0,0.9781,0.0
law,postprocessing_nfp,4,30,100152.5304,0.0,0.2815,0.0,5396.8031,0.0,1.2253,0.0,86767.4696,0.0,0.8664,0.0,0.7238,0.0,0.0258,0.0,0.8195,0.0,0.9786,0.0
law,postprocessing_gini,4,30,100272.1992,0.0,0.2812,0.0,5382.9281,0.0,1.2255,0.0,86647.8008,0.0,0.8641,0.0,0.7334,0.0,0.0246,0.0,0.8241,0.0,0.9806,0.0
law,rawlsian,4,30,104839.2006,0.0,0.1749,0.0,4877.0751,0.0,1.5789,0.0,82080.7994,0.0,0.7829,0.0,0.7045,0.0,0.0236,0.0,0.8335,0.0,0.9763,0.0
adult_race,fair_centroid,5,30,250423.2301,0.0,0.1594,0.0,3357.448,0.0,1.714,0.0,111520.7699,0.0,0.4453,0.0,0.209,0.0,0.0728,0.0,0.6445,0.0,0.624,0.0
adult_race,postprocessing_nfp,5,30,249734.2761,0.0,0.1623,0.0,3387.5092,0.0,1.7201,0.0,112209.7239,0.0,0.4493,0.0,0.2163,0.0,0.0744,0.0,0.6369,0.0,0.6243,0.0
adult_race,postprocessing_gini,5,30,250482.1091,0.0,0.1621,0.0,3354.8866,0.0,1.7379,0.0,111461.8909,0.0,0.445,0.0,0.2213,0.0,0.0906,0.0,0.616,0.0,0.6274,0.0
adult_race,rawlsian,5,30,261371.4006,0.0,0.1418,0.0,2901.0135,0.0,1.851,0.0,100572.5994,0.0,0.3848,0.0,0.2318,0.0,0.081,0.0,0.6639,0.0,0.6576,0.0
adult_combined,fair_centroid,5,30,250597.5659,0.0,0.1626,0.0,3349.8673,0.0,1.7452,0.0,111346.4341,0.0,0.4443,0.0,0.5261,0.0,0.1201,0.0,0.5922,0.0,0.9028,0.0
adult_combined,postprocessing_nfp,5,30,252108.6367,0.0,0.1625,0.0,3284.6009,0.0,1.8065,0.0,109835.3633,0.0,0.4357,0.0,0.5282,0.0,0.1194,0.0,0.598,0.0,0.9051,0.0
adult_combined,postprocessing_gini,5,30,250365.0791,0.0,0.162,0.0,3359.9789,0.0,1.7349,0.0,111578.9209,0.0,0.4457,0.0,0.5799,0.0,0.1019,0.0,0.6198,0.0,0.9243,0.0
adult_combined,rawlsian,5,30,261371.4006,0.0,0.1418,0.0,2901.0135,0.0,1.851,0.0,100572.5994,0.0,0.3848,0.0,0.4526,0.0,0.1585,0.0,0.4837,0.0,0.7913,0.0
compas_race,fair_centroid,2,30,163377.6163,0.0,0.1777,0.0,1693.6308,0.0,2.0137,0.0,34897.3837,0.0,0.2136,0.0,0.6996,0.0,0.053,0.0,0.8993,0.0,0.9748,0.0
compas_race,postprocessing_nfp,2,30,164862.8769,0.0,0.1723,0.0,1606.9398,0.0,2.0599,0.0,33412.1231,0.0,0.2027,0.0,0.6963,0.0,0.0368,0.0,0.9289,0.0,0.9755,0.0
compas_race,postprocessing_gini,2,30,163323.0483,0.0,0.1775,0.0,1696.8458,0.0,2.0097,0.0,34951.9517,0.0,0.214,0.0,0.701,0.0,0.0479,0.0,0.9085,0.0,0.9755,0.0
compas_race,rawlsian,2,30,163323.0483,0.0,0.1775,0.0,1696.8458,0.0,2.0097,0.0,34951.9517,0.0,0.214,0.0,0.701,0.0,0.0479,0.0,0.9085,0.0,0.9755,0.0
compas_combined,fair_centroid,2,30,163366.5655,0.0,0.1767,0.0,1694.2817,0.0,2.0052,0.0,34908.4345,0.0,0.2137,0.0,0.322,0.0,0.0625,0.0,0.8824,0.0,0.7977,0.0
compas_combined,postprocessing_nfp,2,30,164862.8769,0.0,0.1723,0.0,1606.9398,0.0,2.0599,0.0,33412.1231,0.0,0.2027,0.0,0.3186,0.0,0.0546,0.0,0.8954,0.0,0.7952,0.0
compas_combined,postprocessing_gini,2,30,163323.0483,0.0,0.1775,0.0,1696.8458,0.0,2.0097,0.0,34951.9517,0.0,0.214,0.0,0.3204,0.0,0.0612,0.0,0.8843,0.0,0.7963,0.0
compas_combined,rawlsian,2,30,163323.0483,0.0,0.1775,0.0,1696.8458,0.0,2.0097,0.0,34951.9517,0.0,0.214,0.0,0.3204,0.0,0.0612,0.0,0.8843,0.0,0.7963,0.0
law_race,fair_centroid,3,30,102494.0249,0.0,0.2803,0.0,5993.0433,0.0,1.2799,0.0,65733.9751,0.0,0.6413,0.0,0.0681,0.0,0.2453,0.0,0.5732,0.0,0.3133,0.0
law_race,postprocessing_nfp,3,30,102220.1676,0.0,0.2829,0.0,6034.134,0.0,1.2775,0.0,66007.8324,0.0,0.6457,0.0,0.0715,0.0,0.269,0.0,0.5569,0.0,0.3211,0.0
law_race,postprocessing_gini,3,30,102050.2365,0.0,0.2841,0.0,6059.7421,0.0,1.2727,0.0,66177.7635,0.0,0.6485,0.0,0.0745,0.0,0.2651,0.0,0.5355,0.0,0.3331,0.0
law_race,rawlsian,3,30,105511.5782,0.0,0.1696,0.0,5554.4009,0.0,1.7562,0.0,62716.4218,0.0,0.5944,0.0,0.083,0.0,0.3797,0.0,0.259,0.0,0.3027,0.0
law_combined,fair_centroid,3,30,102491.6258,0.0,0.2804,0.0,5993.4023,0.0,1.2796,0.0,65736.3742,0.0,0.6414,0.0,0.5841,0.0,0.0056,0.0,0.9612,0.0,0.9495,0.0
law_combined,postprocessing_nfp,3,30,102063.3056,0.0,0.2845,0.0,6057.7696,0.0,1.2684,0.0,66164.6944,0.0,0.6483,0.0,0.5969,0.0,0.0026,0.0,0.9755,0.0,0.9533,0.0
law_combined,postprocessing_gini,3,30,102083.0994,0.0,0.2842,0.0,6054.7831,0.0,1.2685,0.0,66144.9006,0.0,0.648,0.0,0.6835,0.0,0.0268,0.0,0.8626,0.0,0.9711,0.0
law_combined,rawlsian,3,30,105511.5782,0.0,0.1696,0.0,5554.4009,0.0,1.7562,0.0,62716.4218,0.0,0.5944,0.0,0.5628,0.0,0.016,0.0,0.887,0.0,0.9366,0.0
