Dataset,Method,Best_k(Silhouette),Sil@k=2,Sil@best_k,Sil@k=10,Sil_range(max-min),Bal@k=2,Bal@best_k,Bal@k=10,Bal_range(max-min),SPD@k=2,SPD@best_k,SPD@k=10,SPD_range(max-min)
adult,K-Means,8,0.1247,0.1725,0.1542,0.0478,0.5112,0.3627,0.3375,0.1737,0.4253,0.1102,0.0813,0.3517
adult,Fairlet,4,0.0334,0.083,-0.0607,0.1437,0.6628,0.8466,0.9108,0.248,0.2481,0.0827,0.0904,0.1654
adult,BFKM,8,0.1247,0.1361,0.1254,0.024,0.511,0.403,0.4557,0.108,0.4256,0.0705,0.0655,0.3602
adult,CCF,5,0.1276,0.1619,0.1308,0.0448,0.5089,0.4385,0.3366,0.1723,0.4333,0.1491,0.0833,0.3563
adult,PP-NFP,8,0.1246,0.1723,0.1541,0.0477,0.5124,0.3635,0.3382,0.1741,0.4246,0.11,0.0812,0.3511
adult,PP-Gini,8,0.1245,0.1722,0.1539,0.0477,0.5124,0.3635,0.3382,0.1741,0.4246,0.11,0.0812,0.3511
adult,Rawlsian,8,0.1247,0.1531,0.15,0.0431,0.5112,0.3621,0.4241,0.1564,0.4253,0.1063,0.0997,0.3256
compas,K-Means,2,0.1795,0.1795,0.0946,0.0849,0.2622,0.2622,0.2396,0.0456,0.0938,0.0938,0.023,0.0709
compas,Fairlet,2,0.0146,0.0146,-0.1238,0.1384,0.5735,0.5735,0.9047,0.3312,0.3757,0.3757,0.1271,0.2485
compas,BFKM,2,0.1793,0.1793,0.1161,0.0659,0.2622,0.2622,0.2286,0.0392,0.0921,0.0921,0.0237,0.0684
compas,CCF,2,0.1728,0.1728,0.0885,0.087,0.2644,0.2644,0.2392,0.054,0.106,0.106,0.021,0.0851
compas,PP-NFP,2,0.1793,0.1793,0.0944,0.085,0.2619,0.2619,0.2396,0.0447,0.0918,0.0918,0.0226,0.0693
compas,PP-Gini,2,0.1786,0.1786,0.0939,0.0847,0.2619,0.2619,0.2396,0.0447,0.0918,0.0918,0.0226,0.0693
compas,Rawlsian,2,0.1794,0.1794,0.0901,0.0982,0.2624,0.2624,0.2454,0.017,0.0937,0.0937,0.0265,0.0675
german,K-Means,8,0.0816,0.0859,0.0723,0.0135,0.4563,0.3873,0.3294,0.1304,0.2059,0.0539,0.0517,0.1542
german,Fairlet,2,0.0131,0.0131,-0.0605,0.0736,0.6564,0.6564,0.91,0.2535,0.2434,0.2434,0.0952,0.1511
german,BFKM,2,0.2654,0.2654,0.0661,0.2019,0.3499,0.3499,0.3185,0.1277,0.0194,0.0194,0.0561,0.1268
german,CCF,8,0.08,0.0853,0.0679,0.0174,0.4574,0.3874,0.328,0.1349,0.2088,0.0529,0.052,0.1568
german,PP-NFP,8,0.0817,0.0821,0.0702,0.0119,0.4483,0.3867,0.3475,0.1055,0.1842,0.0484,0.0473,0.1369
german,PP-Gini,8,0.0779,0.0788,0.0683,0.0105,0.4483,0.3867,0.3475,0.1055,0.1842,0.0484,0.0473,0.1369
german,Rawlsian,2,0.0815,0.0815,0.0724,0.0343,0.4561,0.4561,0.3075,0.2072,0.2027,0.2027,0.0614,0.1413
credit,K-Means,2,0.1383,0.1383,0.0931,0.0452,0.6422,0.6422,0.6741,0.0362,0.0484,0.0484,0.0121,0.0363
credit,Fairlet,2,0.0364,0.0364,-0.0511,0.0875,0.7497,0.7497,0.9193,0.1696,0.1642,0.1642,0.0601,0.1041
credit,BFKM,2,0.1383,0.1383,0.0945,0.0466,0.6422,0.6422,0.6604,0.0364,0.0483,0.0483,0.0111,0.0372
credit,CCF,2,0.1353,0.1353,0.0908,0.0445,0.6422,0.6422,0.6717,0.035,0.0465,0.0465,0.0115,0.035
credit,PP-NFP,2,0.138,0.138,0.0929,0.0451,0.6426,0.6426,0.6733,0.0347,0.0472,0.0472,0.0118,0.0353
credit,PP-Gini,2,0.138,0.138,0.0928,0.0452,0.6426,0.6426,0.6733,0.0347,0.0472,0.0472,0.0118,0.0353
credit,Rawlsian,2,0.1383,0.1383,0.0915,0.0468,0.6422,0.6422,0.6752,0.0405,0.0484,0.0484,0.0123,0.0361
law,K-Means,4,0.2521,0.2817,0.1665,0.1151,0.773,0.7211,0.742,0.0812,0.0145,0.026,0.0178,0.017
law,Fairlet,2,0.0987,0.0987,-0.0813,0.18,0.821,0.821,0.9322,0.1125,0.1072,0.1072,0.0392,0.068
law,BFKM,3,0.252,0.2625,0.1617,0.1008,0.773,0.6922,0.7366,0.0808,0.0145,0.0314,0.0188,0.0169
law,CCF,4,0.2462,0.2762,0.1647,0.1115,0.7725,0.7201,0.7418,0.0852,0.0105,0.0254,0.018,0.022
law,PP-NFP,4,0.2521,0.2806,0.166,0.1145,0.773,0.7269,0.7447,0.0736,0.0145,0.0253,0.0175,0.016
law,PP-Gini,4,0.2521,0.2807,0.1655,0.1152,0.773,0.7269,0.7447,0.0736,0.0145,0.0253,0.0175,0.016
law,Rawlsian,3,0.2519,0.2694,0.1607,0.1087,0.7729,0.7995,0.7341,0.095,0.0145,0.0134,0.0195,0.0102
adult_race,K-Means,8,0.1247,0.1725,0.1542,0.0478,0.1749,0.1848,0.1791,0.0703,0.164,0.0455,0.0375,0.1265
adult_race,Fairlet,2,0.0035,0.0035,-0.114,0.1175,0.5455,0.5455,0.9031,0.3576,0.4069,0.4069,0.1397,0.2672
adult_race,BFKM,8,0.1248,0.1361,0.1254,0.0241,0.1749,0.188,0.1849,0.049,0.1634,0.0457,0.0344,0.129
adult_race,CCF,8,0.1236,0.1612,0.1433,0.0376,0.1732,0.1868,0.1818,0.0716,0.18,0.0473,0.039,0.141
adult_race,PP-NFP,8,0.1246,0.1724,0.1541,0.0479,0.1748,0.1839,0.1784,0.0679,0.1634,0.0454,0.0374,0.126
adult_race,PP-Gini,8,0.1245,0.1721,0.1538,0.0475,0.1748,0.1839,0.1784,0.0679,0.1634,0.0454,0.0374,0.126
adult_race,Rawlsian,8,0.1247,0.1531,0.13,0.0339,0.1749,0.1839,0.1795,0.0731,0.164,0.0465,0.038,0.126
adult_combined,K-Means,8,0.1247,0.1725,0.1542,0.0478,0.4954,0.4619,0.4336,0.1068,0.3531,0.0908,0.0721,0.2885
adult_combined,Fairlet,2,0.1481,0.1481,-0.1352,0.2833,0.8849,0.8849,0.9381,0.0532,0.0376,0.0376,0.0331,0.0203
adult_combined,BFKM,8,0.1248,0.1361,0.1253,0.024,0.4969,0.5447,0.5133,0.0872,0.3517,0.0624,0.0553,0.2963
adult_combined,CCF,8,0.1262,0.1592,0.1387,0.0377,0.4955,0.4332,0.4092,0.1257,0.3529,0.0937,0.0751,0.287
adult_combined,PP-NFP,8,0.1245,0.1723,0.154,0.0478,0.5025,0.4671,0.4384,0.1059,0.3467,0.0892,0.0708,0.2836
adult_combined,PP-Gini,8,0.1245,0.1722,0.1539,0.0477,0.5025,0.4671,0.4384,0.1059,0.3467,0.0892,0.0708,0.2836
adult_combined,Rawlsian,6,0.1247,0.1616,0.15,0.0516,0.4954,0.4514,0.427,0.257,0.3531,0.1296,0.0856,0.2675
compas_race,K-Means,2,0.1775,0.1775,0.1028,0.0792,0.701,0.701,0.4972,0.2255,0.0479,0.0479,0.0545,0.0846
compas_race,Fairlet,2,0.054,0.054,-0.0633,0.1173,0.7641,0.7641,0.9239,0.1598,0.1555,0.1555,0.0524,0.1031
compas_race,BFKM,2,0.1775,0.1775,0.1048,0.0782,0.701,0.701,0.5506,0.1504,0.0475,0.0475,0.0532,0.0849
compas_race,CCF,2,0.1704,0.1704,0.0996,0.0791,0.7057,0.7057,0.4999,0.2282,0.0654,0.0654,0.0546,0.0795
compas_race,PP-NFP,2,0.1774,0.1774,0.1024,0.08,0.7003,0.7003,0.5067,0.2203,0.0447,0.0447,0.0538,0.0862
