Approach,Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
approach2,adult,kmeans,5,30,249892.9929,3773.3117,0.152,0.0095,3383.0743,165.9228,1.6967,0.1128,112051.0071,3773.3117,0.4487,0.022,0.3924,0.0292,0.1514,0.0145,0.5493,0.0656,0.7877,0.0343
approach2,adult,fairlet,5,30,331501.336,965.137,-0.0015,0.0072,692.4194,23.941,3.8282,0.0881,30442.664,965.137,0.0918,0.0032,0.848,0.0059,0.1364,0.0118,0.484,0.0123,0.9412,0.0078
approach2,adult,bfkm,5,30,262639.7032,7509.919,0.1347,0.0316,2859.1125,298.0338,2.0136,0.203,99304.2968,7509.919,0.3792,0.0395,0.4037,0.0382,0.1542,0.0374,0.5395,0.0921,0.7873,0.049
approach2,adult,fair_centroid,5,30,256878.7482,4309.0929,0.147,0.0119,3086.5605,176.0569,1.7921,0.1056,105065.2518,4309.0929,0.4094,0.0234,0.3924,0.0301,0.1519,0.0142,0.5417,0.0694,0.7811,0.0362
approach2,adult,postprocessing_nfp,5,30,251819.1104,3597.4897,0.1515,0.0097,3299.2602,155.0352,1.7004,0.1118,110124.8896,3597.4897,0.4376,0.0206,0.3959,0.0281,0.1511,0.0145,0.5557,0.0645,0.7934,0.0327
approach2,adult,postprocessing_gini,5,30,251913.7362,3600.4983,0.1514,0.0097,3295.1908,155.0382,1.7014,0.1118,110030.2638,3600.4983,0.4371,0.0206,0.3959,0.0281,0.1511,0.0145,0.5557,0.0645,0.7934,0.0327
approach2,adult,rawlsian,5,30,268282.2368,3915.3539,0.127,0.007,2634.2233,147.112,2.1416,0.1383,93661.7632,3915.3539,0.3494,0.0195,0.3773,0.0241,0.1919,0.0028,0.4157,0.0476,0.7187,0.0228
approach2,compas,kmeans,2,30,193334.8893,0.132,0.1794,0.0,2018.1885,0.0078,1.9963,0.0002,41540.1107,0.132,0.2149,0.0,0.2623,0.0001,0.0932,0.0003,0.8294,0.0006,0.7308,0.0001
approach2,compas,fairlet,2,30,228972.383,251.417,0.0161,0.0031,242.1512,10.576,4.6023,0.1569,5902.617,251.417,0.0258,0.0011,0.5745,0.0024,0.3696,0.014,0.4172,0.0092,0.7783,0.005
approach2,compas,bfkm,2,30,193402.9205,0.2045,0.1794,0.0,2014.1746,0.0121,1.9979,0.0,41472.0795,0.2045,0.2144,0.0,0.2623,0.0,0.0923,0.0003,0.8309,0.0004,0.731,0.0
approach2,compas,fair_centroid,2,30,195366.8384,6.5553,0.1727,0.0001,1899.5044,0.3789,2.0457,0.0002,39508.1616,6.5553,0.2022,0.0,0.2645,0.0001,0.1058,0.0002,0.8086,0.0003,0.7316,0.0001
approach2,compas,postprocessing_nfp,2,30,193355.2316,2.1392,0.1793,0.0,2016.988,0.1262,1.9973,0.0003,41519.7684,2.1392,0.2147,0.0,0.262,0.0001,0.0912,0.0003,0.8328,0.0006,0.7308,0.0001
approach2,compas,postprocessing_gini,2,30,193547.0663,9.4047,0.1786,0.0,2005.679,0.5539,2.0029,0.0005,41327.9337,9.4047,0.2135,0.0001,0.262,0.0001,0.0912,0.0003,0.8328,0.0006,0.7308,0.0001
approach2,compas,rawlsian,2,30,193335.0223,0.1268,0.1794,0.0,2018.1807,0.0075,1.9963,0.0002,41539.9777,0.1268,0.2149,0.0,0.2623,0.0001,0.0934,0.0003,0.8291,0.0006,0.7309,0.0001
approach2,german,kmeans,2,30,18344.1708,0.0202,0.0821,0.0004,90.0841,0.0012,3.2322,0.0015,1655.8292,0.0202,0.0903,0.0,0.4534,0.0018,0.1971,0.0052,0.6636,0.0072,0.8581,0.0014
approach2,german,fairlet,2,30,19538.5544,46.8948,0.0214,0.0102,23.5758,2.4518,5.7125,0.3054,461.4456,46.8948,0.0236,0.0025,0.6475,0.0199,0.2652,0.0558,0.5529,0.0444,0.8853,0.0206
approach2,german,bfkm,2,30,18435.8155,189.9073,0.1065,0.0623,84.7876,10.9113,3.0138,0.5917,1564.1845,189.9073,0.085,0.0109,0.436,0.034,0.162,0.0564,0.6918,0.0282,0.8528,0.0191
approach2,german,fair_centroid,2,30,18393.2661,8.5601,0.0808,0.0004,87.18,0.5054,3.2848,0.0091,1606.7339,8.5601,0.0874,0.0005,0.4543,0.0019,0.1988,0.0056,0.6615,0.0077,0.858,0.0014
approach2,german,postprocessing_nfp,2,30,18369.032,1.1138,0.0825,0.0005,88.6114,0.0659,3.254,0.0026,1630.968,1.1138,0.0888,0.0001,0.4461,0.0015,0.1754,0.0052,0.6931,0.0075,0.8613,0.0014
approach2,german,postprocessing_gini,2,30,18429.1316,0.3861,0.0785,0.0004,85.0679,0.0227,3.3144,0.0027,1570.8684,0.3861,0.0852,0.0,0.4461,0.0015,0.1754,0.0052,0.6931,0.0075,0.8613,0.0014
approach2,german,rawlsian,2,30,18344.1941,0.044,0.0817,0.0003,90.0827,0.0026,3.2338,0.0017,1655.8059,0.044,0.0903,0.0,0.4556,0.0015,0.2016,0.0016,0.6578,0.0021,0.8578,0.0008
approach2,credit,kmeans,2,30,572434.3126,0.0146,0.1383,0.0,4588.8156,0.0009,2.4359,0.0001,87565.6874,0.0146,0.153,0.0,0.6422,0.0,0.0483,0.0001,0.9017,0.0002,0.963,0.0
approach2,credit,fairlet,2,30,631100.138,435.4802,0.0369,0.0007,1373.7083,21.6448,4.4353,0.0409,28899.862,435.4802,0.0458,0.0007,0.7456,0.0023,0.1699,0.0032,0.7024,0.0035,0.9571,0.0011
approach2,credit,bfkm,2,30,572434.2823,0.0239,0.1383,0.0,4588.8174,0.0014,2.4359,0.0002,87565.7177,0.0239,0.153,0.0,0.6422,0.0,0.0483,0.0001,0.9018,0.0001,0.963,0.0
approach2,credit,fair_centroid,2,30,575319.151,54.3752,0.1353,0.0,4415.3863,3.2523,2.475,0.001,84680.849,54.3752,0.1472,0.0001,0.6422,0.0001,0.0464,0.0002,0.9052,0.0004,0.9632,0.0
approach2,credit,postprocessing_nfp,2,30,572501.6981,0.0567,0.138,0.0,4584.7446,0.0034,2.4375,0.0001,87498.3019,0.0567,0.1528,0.0,0.6426,0.0,0.0471,0.0001,0.9042,0.0002,0.9632,0.0
approach2,credit,postprocessing_gini,2,30,572595.581,0.0752,0.138,0.0,4579.0744,0.0045,2.4392,0.0001,87404.419,0.0752,0.1526,0.0,0.6426,0.0,0.0471,0.0001,0.9042,0.0002,0.9632,0.0
approach2,credit,rawlsian,2,30,572434.3561,0.0148,0.1383,0.0,4588.813,0.0009,2.436,0.0001,87565.6439,0.0148,0.153,0.0,0.6422,0.0,0.0483,0.0,0.9018,0.0001,0.963,0.0
approach2,law,kmeans,4,30,100572.086,1417.8391,0.2713,0.0312,5350.5206,157.3349,1.2632,0.1092,86347.914,1417.8391,0.8589,0.0253,0.7195,0.005,0.0258,0.0006,0.8224,0.003,0.978,0.0006
approach2,law,fairlet,4,30,154358.3831,280.5411,0.0517,0.0014,1314.0913,13.7124,2.6985,0.0343,32561.6169,280.5411,0.211,0.0022,0.8904,0.0018,0.0709,0.0013,0.7607,0.0024,0.9856,0.0006
approach2,law,bfkm,4,30,104585.8525,2800.1432,0.2063,0.037,4911.6812,288.3261,1.5857,0.1724,82334.1475,2800.1432,0.7885,0.0463,0.7089,0.0213,0.0246,0.0028,0.8281,0.0193,0.9767,0.0029
approach2,law,fair_centroid,4,30,103225.5207,952.6462,0.2662,0.0301,5051.6346,101.6162,1.2849,0.1075,83694.4793,952.6462,0.8109,0.0163,0.7184,0.0053,0.0254,0.0002,0.8211,0.0021,0.9777,0.0007
approach2,law,postprocessing_nfp,4,30,100775.7928,1424.3363,0.2702,0.0312,5327.1243,157.4032,1.2676,0.1097,86144.2072,1424.3363,0.8552,0.0253,0.7252,0.005,0.0251,0.0006,0.8271,0.003,0.9795,0.0006
approach2,law,postprocessing_gini,4,30,100881.288,1404.8857,0.2703,0.0311,5314.9757,155.011,1.2685,0.1092,86038.712,1404.8857,0.8532,0.0249,0.7252,0.005,0.0251,0.0006,0.8271,0.003,0.9795,0.0006
