Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
diabetes_gender,kmeans,2,30,3718765.4586,3.255,0.0742,0.0003,4318.6183,0.0909,3.9522,0.0008,161422.5414,3.255,0.0434,0.0,0.8584,0.0001,0.0138,0.0003,0.9727,0.0006,0.9957,0.0
diabetes_gender,fairlet,2,30,3814459.8294,413.6257,0.0363,0.0008,1714.345,10.9741,6.3065,0.0206,65728.1706,413.6257,0.0172,0.0001,0.878,0.0009,0.0691,0.0007,0.8695,0.001,0.993,0.0001
diabetes_gender,bfkm,2,30,3725632.1004,15882.1803,0.0986,0.0814,4129.1556,437.4855,3.7,0.6574,154555.8996,15882.1803,0.0415,0.0044,0.8618,0.0102,0.0127,0.0036,0.9708,0.004,0.9958,0.0006
diabetes_gender,fair_centroid,2,30,3725158.1502,158.5961,0.0724,0.0002,4140.474,4.4118,4.0323,0.0025,155029.8498,158.5961,0.0416,0.0,0.8578,0.0,0.0075,0.0003,0.9851,0.0005,0.9957,0.0
diabetes_gender,postprocessing_nfp,2,30,3718765.4586,3.255,0.0742,0.0003,4318.6183,0.0909,3.9522,0.0008,161422.5414,3.255,0.0434,0.0,0.8584,0.0001,0.0138,0.0003,0.9727,0.0006,0.9957,0.0
diabetes_gender,postprocessing_gini,2,30,3718765.4586,3.255,0.0742,0.0003,4318.6183,0.0909,3.9522,0.0008,161422.5414,3.255,0.0434,0.0,0.8584,0.0001,0.0138,0.0003,0.9727,0.0006,0.9957,0.0
diabetes_gender,rawlsian,2,30,3718769.4009,1.4726,0.0742,0.0004,4318.5083,0.0411,3.952,0.0012,161418.5991,1.4726,0.0434,0.0,0.8584,0.0001,0.0137,0.0003,0.973,0.0007,0.9957,0.0
diabetes_race,kmeans,2,30,3562612.2831,4.636,0.0749,0.0004,4131.5444,0.1294,3.9565,0.0009,154438.7169,4.636,0.0433,0.0,0.2521,0.0,0.0153,0.0007,0.9697,0.0013,0.7244,0.0
diabetes_race,fairlet,2,30,3686341.3214,13255.2825,0.3952,0.4833,795.2153,346.1037,5.4692,3.8777,30709.6786,13255.2825,0.0083,0.0036,0.5948,0.0275,0.2165,0.1894,0.5019,0.1088,0.8104,0.0456
diabetes_race,bfkm,2,30,3570638.8288,19821.533,0.0942,0.0534,3911.0312,543.6035,3.7294,0.5947,146412.1712,19821.533,0.041,0.0057,0.2458,0.0187,0.0178,0.0094,0.9405,0.0761,0.7129,0.0335
diabetes_race,fair_centroid,2,30,3577430.0659,178.8738,0.0689,0.0003,3719.6683,4.9513,4.1546,0.0025,139620.9341,178.8738,0.039,0.0001,0.2518,0.0,0.0133,0.0007,0.9736,0.0013,0.7242,0.0
diabetes_race,postprocessing_nfp,2,30,3562632.2954,4.6102,0.075,0.0004,4130.9858,0.1287,3.9569,0.0009,154418.7046,4.6102,0.0433,0.0,0.2521,0.0,0.0151,0.0007,0.9701,0.0013,0.7244,0.0
diabetes_race,postprocessing_gini,2,30,3562703.5939,4.7629,0.0749,0.0004,4128.9958,0.1329,3.9578,0.0009,154347.4061,4.7629,0.0433,0.0,0.2521,0.0,0.0151,0.0007,0.9701,0.0013,0.7244,0.0
diabetes_race,rawlsian,2,30,3563018.6377,1500.1425,0.0704,0.0161,4120.2212,41.8008,3.897,0.2202,154032.3623,1500.1425,0.0432,0.0004,0.2521,0.0001,0.0146,0.0034,0.9711,0.0064,0.7244,0.0001
diabetes_combined,kmeans,2,30,3562612.2831,4.636,0.0749,0.0004,4131.5444,0.1294,3.9565,0.0009,154438.7169,4.636,0.0433,0.0,0.6384,0.0001,0.0048,0.0012,0.9905,0.0023,0.9646,0.0
diabetes_combined,fairlet,2,30,3708247.8142,363.0563,-0.0545,0.0199,226.2547,9.3531,8.6627,0.2699,8803.1858,363.0563,0.0024,0.0001,0.7319,0.0056,0.1841,0.0079,0.6825,0.0088,0.9504,0.003
diabetes_combined,bfkm,2,30,3570632.049,19808.6088,0.0944,0.0538,3911.2157,543.2535,3.7299,0.5938,146418.951,19808.6088,0.041,0.0057,0.6431,0.0241,0.0051,0.0019,0.9811,0.0283,0.9651,0.0038
