Dataset,Method,k,Balance,SPD,Disparate_Impact,Entropy
diabetes_gender,kmeans,10,0.8779105252955286,0.007188205958790851,0.9004916312640047,0.9959030306606309
diabetes_gender,fairlet,10,0.9653138871274571,0.019610057307748913,0.8475610606109365,0.9968005955887174
diabetes_gender,bfkm,10,0.8787188236002045,0.008128350723435526,0.9218138911189128,0.9956208213502723
diabetes_gender,fair_centroid,10,0.8280524851149572,0.0029662782461133096,0.8459344465814731,0.9744732982821741
diabetes_gender,postprocessing_nfp,10,0.9157899996000337,0.002890988915451742,0.925490691097045,0.9974360466145811
diabetes_gender,postprocessing_gini,10,0.9157899996000337,0.002890988915451742,0.925490691097045,0.9974360466145811
diabetes_gender,rawlsian,10,0.808458957921863,0.007781906957014116,0.8545035300765023,0.9730444039374989
diabetes_race,kmeans,10,0.1935005818513208,0.012871131271582107,0.6962801861468916,0.5984661873184398
diabetes_race,fairlet,10,0.9070395607627825,0.11598358802441919,0.2550775975004621,0.9349920626491711
diabetes_race,bfkm,10,0.26213647667210294,0.01955670241575983,0.79418070528548,0.7136634747992293
diabetes_race,fair_centroid,10,0.18178237931440408,0.011839345496539722,0.682526001382598,0.5827354845035599
diabetes_race,postprocessing_nfp,10,0.18679482139725723,0.011360412943004692,0.7039909550491645,0.6007615617476301
diabetes_race,postprocessing_gini,10,0.18679482139725723,0.011360412943004692,0.7039909550491645,0.6007615617476301
diabetes_race,rawlsian,10,0.22883070607831676,0.01406465627643226,0.8481511043088676,0.6821676147082654
diabetes_combined,kmeans,10,0.646229623813688,0.0027910504993703808,0.8548285038564757,0.9618012291018767
diabetes_combined,fairlet,10,0.9291506757884198,0.05550111992292188,0.6198579408404543,0.9770458634786532
diabetes_combined,bfkm,10,0.6504911798470243,0.006057088171228957,0.9120774396808592,0.9642323730533853
diabetes_combined,fair_centroid,10,0.594882285753464,0.003071436932950131,0.801291402691393,0.9287824919004823
diabetes_combined,postprocessing_nfp,10,0.7384108467459826,0.002969117696933759,0.842316408734618,0.9724651425345596
diabetes_combined,postprocessing_gini,10,0.7384108467459826,0.002969117696933759,0.842316408734618,0.9724651425345596
diabetes_combined,rawlsian,10,0.6736095426670969,0.00652891177115208,0.9170605125393744,0.9694765612228353
dutch_gender,kmeans,7,0.8098092024941798,0.03342298783922313,0.8102431379427456,0.9841856930728111
dutch_gender,fairlet,7,0.9982658959537573,0.0007846992211654172,0.9952881871387526,0.99999615741538
dutch_gender,bfkm,7,0.8815887962832015,0.013672119731558399,0.8822320674372369,0.9912217726782254
dutch_gender,fair_centroid,7,0.8499889426860501,0.02881140327275709,0.8516896887576836,0.9937788688540165
dutch_gender,postprocessing_nfp,7,0.8570194499062715,0.028446104224310383,0.8575651388502198,0.9940144937713861
dutch_gender,postprocessing_gini,7,0.8570194499062715,0.028446104224310383,0.8575651388502198,0.9940144937713861
dutch_gender,rawlsian,7,0.8244427550881962,0.03366847061053841,0.8249530075087864,0.9903420925731893
meps_gender,kmeans,5,0.8922799111094978,0.018838895695857057,0.8750320145757604,0.9967328991285458
meps_gender,fairlet,5,0.9449897048730268,0.026326452081648875,0.8883160208147824,0.996316118843448
meps_gender,bfkm,5,0.9069008073024583,0.018494277370375477,0.8884358183822414,0.9970852344219467
meps_gender,fair_centroid,5,0.8943592762518036,0.018645261422590684,0.8768727766064591,0.9967572381658384
meps_gender,postprocessing_nfp,5,0.9003887343901736,0.018475831433482616,0.8825852161485814,0.9970549987744064
meps_gender,postprocessing_gini,5,0.9003887343901736,0.018475831433482616,0.8825852161485814,0.9970549987744064
meps_gender,rawlsian,5,0.8847644222773516,0.01836408104524643,0.9004709868060685,0.9963570089642712
meps_race,kmeans,5,0.4676086846476757,0.018484695696241137,0.8947097858174333,0.899037002560392
meps_race,fairlet,5,0.8360593827321265,0.15967291358734506,0.4508559531734746,0.9233386690458353
meps_race,bfkm,5,0.47255702870132843,0.024603335336161,0.8800434655210975,0.9011717061324243
meps_race,fair_centroid,5,0.469341555373919,0.018615169953382894,0.8974331432595314,0.8999839586403716
meps_race,postprocessing_nfp,5,0.46730621983042225,0.018230695188240123,0.8961708789100855,0.8990086687166347
meps_race,postprocessing_gini,5,0.46730621983042225,0.018230695188240123,0.8961708789100855,0.8990086687166347
meps_race,rawlsian,5,0.472384828788144,0.024610716153968034,0.8802743358435159,0.9011047205626216
meps_combined,kmeans,5,0.8686506097382548,0.027714763303831234,0.8585111386652992,0.9937533470318162
meps_combined,fairlet,5,0.9214219759926131,0.04248990817475364,0.8271443803546392,0.9912896425832372
meps_combined,bfkm,5,0.8506497847752652,0.02736950212295759,0.8774676349478986,0.9930066765439813
meps_combined,fair_centroid,5,0.856174219207416,0.027804585953353438,0.8696667007151273,0.9932976610710723
meps_combined,postprocessing_nfp,5,0.8761848727369566,0.026536212920802365,0.8659184333945429,0.9943721169314212
meps_combined,postprocessing_gini,5,0.8761848727369566,0.026536212920802365,0.8659184333945429,0.9943721169314212
meps_combined,rawlsian,5,0.8369298299595057,0.026893916779903625,0.8612963677090113,0.9916570772918378
