Dataset,Method,k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Dunn_Index,WCSS,BCSS,TSS,Variance_Ratio,Inter_Cluster_Distance,Intra_Cluster_Distance,Separation_Index
adult,kmeans,5,243602.07331721333,0.1583670733942621,3662.5688714125677,1.5923391042270159,0.13925777655350632,243602.07331721333,118341.9266827851,361943.99999999994,0.48580016200717147,7.9807764234225305,3.9229610275151394,2.0343756584494215
adult,fairlet,5,331229.6537191675,0.007970565515655104,699.1014620753068,3.7825985768707717,0.0583563091727596,331229.6537191675,30714.34628083266,361943.99999999994,0.09272825043277606,4.01805175246262,5.5793872007815,0.7201600476661334
adult,bfkm,5,266739.4361752788,0.13467076994517993,2690.906969391199,2.0086560609609454,0.11667186238359521,266739.4361752788,95204.56382472217,361943.99999999994,0.3569197160713863,3.164384261470653,3.9412995893316536,0.8028783881428445
adult,fair_centroid,5,252975.39997003524,0.16192333905885214,3247.5154417117756,1.7786584097761877,0.10423066046329335,252975.39997003524,108968.60002996348,361943.99999999994,0.43074781201204043,4.473742860433214,4.108672754904669,1.0888535367273404
adult,postprocessing_nfp,5,249674.6008467045,0.16222275975742792,3390.120840069599,1.7215378397300456,0.11519878114557079,249674.6008467045,112269.39915329398,361943.99999999994,0.4496628762900287,4.530514369470419,4.012931108300847,1.128978855405451
adult,postprocessing_gini,5,249740.56705233743,0.1621035398923504,3387.233967773344,1.7228479856526953,0.1150713826763832,249740.56705233743,112203.43294766107,361943.99999999994,0.4492799638920773,4.53007241628133,4.013338166253438,1.12875422618829
adult,rawlsian,5,266352.54421642673,0.1306083533524212,2705.7668442269937,2.0416170201284944,0.12605581999153975,266352.54421642673,95591.4557835742,361943.99999999994,0.3588907178070755,3.1619674748127986,4.017849655866653,0.786980037990187
compas,kmeans,2,193334.9941104753,0.1793716899944829,2018.182363288803,1.9961618512405093,0.08229995804771988,193334.9941104753,41540.005889524735,234875.0,0.21486025373031012,4.207276054400515,5.986247076532509,0.7028236557248069
compas,fairlet,2,229396.9514042136,0.016509367502061726,224.30686260321684,4.873846041167027,0.034473756088172686,229396.9514042136,5478.04859578641,234875.0,0.023880215330907787,1.8627107834428267,6.449273458026561,0.28882490338885475
compas,bfkm,2,193402.76687722403,0.17934875660165425,2014.1836231822313,1.9979176171021185,0.08306395806277883,193402.76687722403,41472.23312277606,234875.0,0.21443453882489422,4.203790503155123,5.986657638586367,0.702193236516489
compas,fair_centroid,2,195355.85552803724,0.1727675144317583,1900.139225526682,2.0459836338230097,0.07090995133161458,195355.85552803724,39519.14447196285,234875.0,0.20229311460946256,4.107470388665991,5.987421759609605,0.6860165449466865
compas,postprocessing_nfp,2,193358.43530431006,0.17934230754988656,2016.7989649527533,1.997702829002066,0.07259931833549922,193358.43530431006,41516.564695690024,234875.0,0.21471297401817876,4.205327245337557,5.988086194121253,0.7022823501548954
compas,postprocessing_gini,2,193559.38083050126,0.1785932845174592,2004.953772811142,2.0035158479166935,0.07242341019201076,193559.38083050126,41315.61916949879,234875.0,0.2134519081029641,4.195137737702373,5.991435696259656,0.7001890615835735
compas,rawlsian,2,193335.14030729944,0.1793771056595822,2018.1737343421012,1.9961765036631396,0.08229981322343755,193335.14030729944,41539.859692700586,234875.0,0.21485933507315033,4.207268650803362,5.986284452647514,0.7028180307974911
german,kmeans,6,15028.119659689877,0.09131271711418348,65.77069081402628,2.3297439332894645,0.24266894696178215,15028.119659689877,4971.880340310125,20000.0,0.3308384849800115,4.520311818497325,5.556030129849027,0.8135866280156683
german,fairlet,6,18660.31072962799,-0.03205015629364834,14.272550484761716,4.7179276370465635,0.12123450100522337,18660.31072962799,1339.6892703720132,20000.0,0.0717935135048376,2.3833675024175847,5.981325690630043,0.39846810317505593
german,bfkm,6,15165.812728215824,0.08974996573428688,63.36860719918405,2.388535497812813,0.2367236402171495,15165.812728215824,4834.187271784177,20000.0,0.31875556941239463,4.465393305408691,5.537873234041409,0.8063372194870472
german,fair_centroid,6,15308.66297887685,0.0759224150169949,60.9222243043793,2.4995283388740748,0.21950071803994894,15308.66297887685,4691.337021123153,20000.0,0.30644982044456387,4.29434818347016,5.544363000884182,0.774543113931271
german,postprocessing_nfp,6,15282.125072166395,0.07682264491397572,61.3732403853676,2.433596509686831,0.2421609617203925,15282.125072166395,4717.874927833608,20000.0,0.3087185130048672,4.401513967857866,5.572538356794458,0.7898579939770553
german,postprocessing_gini,6,15374.648696389439,0.07524028771492257,59.8075349437883,2.4549308616976373,0.23565182664671175,15374.648696389439,4625.351303610567,20000.0,0.30084273110557497,4.3700118259716865,5.542741292527907,0.7884206740557852
german,rawlsian,6,15198.038248976825,0.08142016366260153,62.81271177664489,2.402056096761747,0.2492066218823745,15198.038248976825,4801.96175102317,20000.0,0.3159593147718556,4.18802572231607,5.582480934536236,0.7502086924124872
credit,kmeans,2,572434.3188359053,0.13831423113523478,4588.815200497298,2.4359533020462454,0.1804373080479043,572434.3188359053,87565.6811640949,659999.9999999998,0.15297070473022528,3.5301247069105917,6.060548971306524,0.5824760634100731
credit,fairlet,2,631032.4660919098,0.037020442658770546,1377.0576457920763,4.430926878541635,0.09965498638101973,631032.4660919098,28967.53390809032,659999.9999999998,0.04590498185852644,2.0111128310708146,6.3012558228778754,0.31916063838720804
credit,bfkm,2,572434.238776596,0.1383909495527057,4588.820037728112,2.435710097591314,0.18046645940243042,572434.238776596,87565.7612234043,659999.9999999998,0.15297086598200252,3.5306950319612467,6.060838486236136,0.5825423396415002
credit,fair_centroid,2,575310.6929262658,0.1353098334033125,4415.891908206683,2.475305875188727,0.17588666406089545,575310.6929262658,84689.30707373415,659999.9999999998,0.14720621068760195,3.4777103840388444,6.070009736469816,0.5729332464071802
credit,postprocessing_nfp,2,572501.6923333787,0.13799730851665523,4584.744933565818,2.437445446567153,0.18032284470883742,572501.6923333787,87498.30766662161,659999.9999999998,0.15283502012020195,3.527885314926489,6.060400784918643,0.5821207936784742
credit,postprocessing_gini,2,572595.5925234628,0.13800700535500113,4579.073694797496,2.439171827485927,0.18022606058186366,572595.5925234628,87404.40747653757,659999.9999999998,0.15264596622433146,3.525991803869584,6.061491353595613,0.5817036762376973
credit,rawlsian,2,572434.3211574439,0.13831896107461755,4588.815060228592,2.43585136805446,0.18044375819553987,572434.3211574439,87565.67884255647,659999.9999999998,0.15297070005429,3.5302508993581396,6.060520921434559,0.5824995813268324
law,kmeans,4,100099.42733030036,0.2816848031537078,5402.97084383752,1.2268711464566406,0.2978659934504022,100099.42733030036,86820.57266969909,186920.00000000003,0.8673433503591911,4.697624483181277,3.4088573399864273,1.3780642645491232
law,fairlet,4,154352.96602531333,0.049948563892634364,1314.3311432903902,2.660833746439465,0.15423955474217033,154352.96602531333,32567.033974686343,186920.00000000003,0.21099065870457887,2.5616949729412775,4.156199929378328,0.616355087933522
law,bfkm,4,104837.46736577191,0.17496221545772953,4877.258765121172,1.5731953204114149,0.22945126613986086,104837.46736577191,82082.53263422771,186920.00000000003,0.782950358270736,4.1217096470847485,3.2822368764040366,1.2557623968933114
law,fair_centroid,4,102913.0876543276,0.2762359989750543,5084.941781778315,1.249124851063714,0.24257115549104705,102913.0876543276,84006.91234567174,186920.00000000003,0.8162898836330771,4.660988428117824,3.4179277406400423,1.3636884047305828
law,postprocessing_nfp,4,100301.00469636123,0.2805702363898098,5379.593119513111,1.2310657309132869,0.29766920756073545,100301.00469636123,86618.99530363822,186920.00000000003,0.8635905050588255,4.678447621964685,3.4158068318429473,1.369646426826923
law,postprocessing_gini,4,100412.98978170572,0.28069445926653325,5366.646322266995,1.2320989318735305,0.2977981240610758,100412.98978170572,86507.01021829373,186920.00000000003,0.8615121450557034,4.673205966341958,3.4207392546031663,1.3661391934662637
