Dataset,Method,k,Balance,SPD,|DI-1|,Disparate_Impact,Entropy,Norm.Entropy
ADULT,KMEANS,5,0.37228302,0.150222485,0.47620765,0.52379235,0.772288775,0.772288775
ADULT,FAIRLET,5,0.843514212,0.145341818,0.525357387,0.474642613,0.935441758,0.935441758
ADULT,BFKM,5,0.386872486,0.197182725,0.570003632,0.429996368,0.733480128,0.733480128
ADULT,FAIR_CENTROID,5,0.440196546,0.14204458,0.349265572,0.650734428,0.843323965,0.843323965
ADULT,POSTPROCESSING_NFP,5,0.439811583,0.149927405,0.353375374,0.646624626,0.832373375,0.832373375
ADULT,POSTPROCESSING_GINI,5,0.505369658,0.124694906,0.325666383,0.674333617,0.855647462,0.855647462
ADULT,RAWLSIAN,5,0.385371073,0.188753736,0.565938362,0.434061638,0.731623515,0.731623515
COMPAS,KMEANS,2,0.262315293,0.093005458,0.170275384,0.829724616,0.730922972,0.730922972
COMPAS,FAIRLET,2,0.573708558,0.374501925,0.585938408,0.414061592,0.776623745,0.776623745
COMPAS,BFKM,2,0.262244089,0.09208609,0.168733449,0.831266551,0.730961424,0.730961424
COMPAS,FAIR_CENTROID,2,0.257437188,0.09643792,0.178365065,0.821634935,0.724334515,0.724334515
COMPAS,POSTPROCESSING_NFP,2,0.258931527,0.074832124,0.139977323,0.860022677,0.729003199,0.729003199
COMPAS,POSTPROCESSING_GINI,2,0.262173345,0.09384995,0.17172304,0.82827696,0.730635345,0.730635345
COMPAS,RAWLSIAN,2,0.262351375,0.093656801,0.171368458,0.828631542,0.730877586,0.730877586
GERMAN,KMEANS,6,0.383952738,0.102618046,0.424594645,0.575405355,0.756949604,0.756949604
GERMAN,FAIRLET,6,0.861111111,0.138569425,0.563775908,0.436224092,0.931945463,0.931945463
GERMAN,BFKM,6,0.3069805,0.108913823,0.445965809,0.554034191,0.756709667,0.756709667
GERMAN,FAIR_CENTROID,6,0.426093038,0.085024155,0.365934723,0.634065277,0.811457351,0.811457351
GERMAN,POSTPROCESSING_NFP,6,0.395121196,0.080567243,0.359557208,0.640442792,0.802827404,0.802827404
GERMAN,POSTPROCESSING_GINI,6,0.395121196,0.080567243,0.359557208,0.640442792,0.802827404,0.802827404
GERMAN,RAWLSIAN,6,0.405649658,0.093408135,0.411942067,0.588057933,0.769191195,0.769191195
CREDIT,KMEANS,2,0.642212364,0.048329164,0.098306366,0.901693634,0.962994475,0.962994475
CREDIT,FAIRLET,2,0.744373254,0.171646349,0.299504143,0.700495857,0.956586916,0.956586916
CREDIT,BFKM,2,0.642204001,0.048302858,0.098265344,0.901734656,0.962994652,0.962994652
CREDIT,FAIR_CENTROID,2,0.656010404,0.043901428,0.084303503,0.915696497,0.966863864,0.966863864
CREDIT,POSTPROCESSING_NFP,2,0.637835102,0.045286856,0.096332269,0.903667731,0.962037535,0.962037535
CREDIT,POSTPROCESSING_GINI,2,0.667906652,0.0244425,0.052129552,0.947870448,0.970551243,0.970551243
CREDIT,RAWLSIAN,2,0.642195861,0.04835807,0.098369042,0.901630958,0.962987183,0.962987183
LAW,KMEANS,4,0.721112211,0.025992088,0.178648036,0.821351964,0.978254384,0.978254384
LAW,FAIRLET,4,0.890326107,0.070938053,0.239357221,0.760642779,0.985568908,0.985568908
LAW,BFKM,4,0.721378503,0.025930678,0.178412852,0.821587148,0.97832075,0.97832075
LAW,FAIR_CENTROID,4,0.721379007,0.026153629,0.181281258,0.818718742,0.978134018,0.978134018
LAW,POSTPROCESSING_NFP,4,0.723784267,0.025818545,0.180494834,0.819505166,0.978555035,0.978555035
LAW,POSTPROCESSING_GINI,4,0.733387302,0.024641069,0.175861977,0.824138023,0.980616805,0.980616805
LAW,RAWLSIAN,4,0.704465303,0.023641117,0.166549304,0.833450696,0.976319405,0.976319405
