Dataset,Method,k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Dunn_Index,WCSS,BCSS,TSS,Variance_Ratio,Inter_Cluster_Distance,Intra_Cluster_Distance,Separation_Index
ADULT,KMEANS,5,243602.0733,0.158367073,3662.568871,1.592339104,0,243602.0733,118341.9267,361944,0.485800162,0,0,0
ADULT,FAIRLET,5,330496.4793,-0.006316002,717.3774467,3.790499664,0,330496.4793,31447.5207,361944,0.095152362,0,0,0
ADULT,BFKM,5,266884.9237,0.13316481,2685.330182,2.008326584,0,266884.9237,95059.07627,361944,0.356180015,0,0,0
ADULT,FAIR_CENTROID,5,249926.8351,0.161765478,3379.090566,1.710500831,0,249926.8351,112017.1649,361944,0.44819983,0,0,0
ADULT,POSTPROCESSING_NFP,5,252108.6367,0.162494233,3284.600929,1.80646179,0,252108.6367,109835.3633,361944,0.435666801,0,0,0
ADULT,POSTPROCESSING_GINI,5,256070.0597,0.151646067,3117.155148,1.886564488,0,256070.0597,105873.9403,361944,0.413456928,0,0,0
ADULT,RAWLSIAN,5,266352.5442,0.130608353,2705.766844,2.04161702,0,266352.5442,95591.45578,361944,0.358890718,0,0,0
COMPAS,KMEANS,2,193334.9941,0.17937169,2018.182363,1.996161851,0,193334.9941,41540.00589,234875,0.214860254,0,0,0
COMPAS,FAIRLET,2,229264.9675,0.014824441,229.8433802,4.748220095,0,229264.9675,5610.03248,234875,0.024469645,0,0,0
COMPAS,BFKM,2,193402.7669,0.179348757,2014.183623,1.997917617,0,193402.7669,41472.23312,234875,0.214434539,0,0,0
COMPAS,FAIR_CENTROID,2,193808.6717,0.178642893,1990.292892,2.008204456,0,193808.6717,41066.3283,234875,0.211891078,0,0,0
COMPAS,POSTPROCESSING_NFP,2,195168.591,0.174260668,1910.975007,2.046735679,0,195168.591,39706.40898,234875,0.203446716,0,0,0
COMPAS,POSTPROCESSING_GINI,2,193334.8244,0.179461231,2018.192381,1.996648481,0,193334.8244,41540.17562,234875,0.21486132,0,0,0
