Dataset,Method,k,Balance,SPD,Disparate_Impact,Entropy
ADULT,KMEANS,5,0.37228302039102756,0.15022248511164585,0.5237923503285036,0.7722887752796246
ADULT,FAIRLET,5,0.8413235514298547,0.14931825072146893,0.47007855085065503,0.9321053980798657
ADULT,BFKM,5,0.3988549742584932,0.13041403679707314,0.586481431798164,0.8165158931033474
ADULT,FAIR_CENTROID,5,0.4401965463432881,0.14204457968803327,0.6507344277552479,0.8433239654983893
ADULT,POSTPROCESSING_NFP,5,0.43981158332304027,0.14992740466407128,0.6466246261301415,0.8323733745549251
ADULT,POSTPROCESSING_GINI,5,0.5053696576118205,0.12469490636804818,0.6743336166309593,0.8556474620272663
ADULT,RAWLSIAN,5,0.3853710733148362,0.18875373625908393,0.43406163753218496,0.731623515052328
COMPAS,KMEANS,2,0.2623152927103166,0.09300545769196794,0.8297246163243229,0.7309229717113811
COMPAS,FAIRLET,2,0.5762568976088289,0.3595525139062923,0.423898999893632,0.7818988197251815
COMPAS,BFKM,2,0.2622440894882223,0.0920860901303282,0.8312665506281443,0.7309614240198259
COMPAS,FAIR_CENTROID,2,0.25743718826767886,0.09643792040042026,0.8216349351286569,0.7243345149168854
COMPAS,POSTPROCESSING_NFP,2,0.2589315270426372,0.07483212407947121,0.860022677198178,0.729003199420081
COMPAS,POSTPROCESSING_GINI,2,0.26217334475923376,0.09384995028440704,0.8282769595283919,0.7306353452055716
COMPAS,RAWLSIAN,2,0.2623513750228054,0.0936568005953392,0.8286315422860284,0.7308775856557472
GERMAN,KMEANS,2,0.4522855053828505,0.1925666199158485,0.669933484691086,0.859156968306779
GERMAN,FAIRLET,2,0.6339113680154143,0.3037868162692847,0.5226984680324391,0.8719290319084205
GERMAN,BFKM,2,0.442255857350197,0.002618045815801752,0.9815440764691062,0.8891778929202896
GERMAN,FAIR_CENTROID,2,0.5179779876552391,0.2228143992519869,0.6337028970462735,0.879722316420892
GERMAN,POSTPROCESSING_NFP,2,0.44034665139469076,0.20116877045348294,0.6498218686137305,0.8468710033549913
GERMAN,POSTPROCESSING_GINI,2,0.456257992865316,0.20593735390369333,0.6516803024139213,0.8564302741234242
GERMAN,RAWLSIAN,2,0.4561486168136232,0.20271154745208042,0.6564405719832256,0.8576887688024885
CREDIT,KMEANS,2,0.6422123639894943,0.04832916407078555,0.9016936337781576,0.9629944749124011
CREDIT,FAIRLET,2,0.7464559230894574,0.16875570697535064,0.7036689131410061,0.9575490064055825
CREDIT,BFKM,2,0.6422202353175788,0.04811091684936916,0.9020869220769416,0.9630172379063602
CREDIT,FAIR_CENTROID,2,0.6560104036538532,0.043901428051686175,0.9156964966803021,0.9668638640302709
CREDIT,POSTPROCESSING_NFP,2,0.6378351016771993,0.045286855765709594,0.9036677313577098,0.9620375346504966
CREDIT,POSTPROCESSING_GINI,2,0.6679066520698937,0.02444249984543609,0.9478704479223756,0.9705512434029797
CREDIT,RAWLSIAN,2,0.6421958614304912,0.04835807049541305,0.9016309581045823,0.9629871830602129
LAW,KMEANS,4,0.7211122114613512,0.025992088299974028,0.8213519643531013,0.9782543837076166
LAW,FAIRLET,4,0.8893585737915825,0.0716108505310362,0.7593890977732639,0.9852354188986266
LAW,BFKM,4,0.7040308076394942,0.023579706652417223,0.83277778140122,0.9762695726837454
LAW,FAIR_CENTROID,4,0.7213790071226702,0.02615362854358827,0.8187187423917921,0.9781340180061673
LAW,POSTPROCESSING_NFP,4,0.7237842671524584,0.025818545462588806,0.8195051663725784,0.9785550345464312
LAW,POSTPROCESSING_GINI,4,0.7333873018470977,0.02464106889442258,0.8241380228918426,0.9806168048966561
LAW,RAWLSIAN,4,0.7044653026292012,0.02364111662539685,0.8334506960922634,0.9763194053084071
