Dataset,Method,k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Dunn_Index,WCSS,BCSS,TSS,Variance_Ratio,Inter_Cluster_Distance,Intra_Cluster_Distance,Separation_Index,
ADULT,KMEANS,5,243602.0733,0.158367073,3662.568871,1.592339104,0,243602.0733,118341.9267,361944,0.485800162,0,0,0,
ADULT,FAIRLET,5,332207.6410,-0.012967028,674.8485485,3.970847314,0,332207.641,29736.3590,361944,0.089511364,0,0,0,
ADULT,BFKM,5,267131.0027,0.114378242,2675.911377,2.257265391,0,267131.0027,94812.9973,361944,0.354930713,0,0,0,
ADULT,FAIR_CENTROID,5,249926.8351,0.161765478,3379.090566,1.710500831,0,249926.8351,112017.1649,361944,0.44819983,0,0,0,
ADULT,POSTPROCESSING_NFP,5,252108.6367,0.162494233,3284.600929,1.80646179,0,252108.6367,109835.3633,361944,0.435666801,0,0,0,
ADULT,POSTPROCESSING_GINI,5,256070.0597,0.151646067,3117.155148,1.886564488,0,256070.0597,105873.9403,361944,0.413456928,0,0,0,
ADULT,RAWLSIAN,5,266352.5442,0.130608353,2705.766844,2.04161702,0,266352.5442,95591.4558,361944,0.358890718,0,0,0,
COMPAS,KMEANS,2,193334.9941,0.17937169,2018.182363,1.996161851,0,193334.9941,41540.0059,234875,0.214860254,0,0,0,
COMPAS,FAIRLET,2,228667.5972,0.015938296,254.9820582,4.422969321,0,228667.5972,6207.4028,234875,0.027145966,0,0,0,
COMPAS,BFKM,2,193402.7669,0.179348757,2014.183623,1.997917617,0,193402.7669,41472.2331,234875,0.214434539,0,0,0,
COMPAS,FAIR_CENTROID,2,193808.6717,0.178642893,1990.292892,2.008204456,0,193808.6717,41066.3283,234875,0.211891078,0,0,0,
COMPAS,POSTPROCESSING_NFP,2,195168.5910,0.174260668,1910.975007,2.046735679,0,195168.591,39706.4090,234875,0.203446716,0,0,0,
COMPAS,POSTPROCESSING_GINI,2,193334.8244,0.179461231,2018.192381,1.996648481,0,193334.8244,41540.1756,234875,0.21486132,0,0,0,
COMPAS,RAWLSIAN,2,193335.1403,0.179377106,2018.173734,1.996176504,0,193335.1403,41539.8597,234875,0.214859335,0,0,0,
GERMAN,KMEANS,2,18344.1862,0.082300248,90.0831548,3.231887981,0,18344.18621,1655.8138,20000,0.090263682,0,0,0,
GERMAN,FAIRLET,2,19557.8889,0.013563398,22.5600461,6.083067921,0,19557.8889,442.1111,20000,0.022605257,0,0,0,
GERMAN,BFKM,2,19008.8298,0.147965506,52.03833549,2.245187008,0,19008.8298,991.1702,20000,0.052142621,0,0,0,
GERMAN,FAIR_CENTROID,2,18432.5972,0.073630208,84.86422265,3.272788124,0,18432.59716,1567.4028,20000,0.085034291,0,0,0,
GERMAN,POSTPROCESSING_NFP,2,18476.3783,0.073065786,82.29829941,3.325531841,0,18476.37825,1523.6218,20000,0.082463226,0,0,0,
GERMAN,POSTPROCESSING_GINI,2,18344.1529,0.081633346,90.08512843,3.23357368,0,18344.15293,1655.8471,20000,0.09026566,0,0,0,
GERMAN,RAWLSIAN,2,18344.1619,0.081547778,90.08459556,3.234014413,0,18344.16192,1655.8381,20000,0.090265126,0,0,0,
CREDIT,KMEANS,2,572434.3188,0.138314231,4588.8152,2.435953302,0,572434.3188,87565.6812,660000,0.152970705,0,0,0,
CREDIT,FAIRLET,2,630566.6997,0.037689117,1400.232749,4.387542201,0,630566.6997,29433.3003,660000,0.046677537,0,0,0,
CREDIT,BFKM,2,572434.2459,0.138389284,4588.81961,2.435712909,0,572434.2459,87565.7541,660000,0.152970852,0,0,0,
CREDIT,FAIR_CENTROID,2,573964.2179,0.123734029,4496.624198,2.52519644,0,573964.2179,86035.7821,660000,0.149897466,0,0,0,
CREDIT,POSTPROCESSING_NFP,2,576288.3903,0.132134701,4357.507298,2.424033022,0,576288.3903,83711.6097,660000,0.145259927,0,0,0,
CREDIT,POSTPROCESSING_GINI,2,580419.1961,0.128271902,4113.001379,2.516461643,0,580419.1961,79580.8039,660000,0.137109187,0,0,0,
CREDIT,RAWLSIAN,2,572434.3212,0.138318961,4588.81506,2.435851368,0,572434.3212,87565.6788,660000,0.1529707,0,0,0,
LAW,KMEANS,4,100099.4273,0.281684803,5402.970844,1.226871146,0,100099.4273,86820.5727,186920,0.86734335,0,0,0,
LAW,FAIRLET,4,154325.2422,0.052750775,1315.686328,2.709223133,0,154325.2422,32594.7578,186920,0.211208208,0,0,0,
LAW,BFKM,4,104837.0875,0.175156013,4877.299011,1.570608184,0,104837.0875,82082.9125,186920,0.782956819,0,0,0,
LAW,FAIR_CENTROID,4,100631.6352,0.280489454,5341.451389,1.231054877,0,100631.6352,86288.3649,186920,0.857467582,0,0,0,
LAW,POSTPROCESSING_NFP,4,100152.5304,0.281514247,5396.803144,1.225295346,0,100152.5304,86767.4696,186920,0.866353244,0,0,0,
LAW,POSTPROCESSING_GINI,4,100272.1992,0.281211905,5382.928052,1.225516177,0,100272.1992,86647.8008,186920,0.864125864,0,0,0,
LAW,RAWLSIAN,4,104839.7117,0.175098452,4877.021002,1.577142808,0,104839.7117,82080.2883,186920,0.78291219,0,0,0,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
243602.0733,332207.6410,267131.0027,249926.8351,252108.6367,256070.0597,266352.5442,,,118341.9267,29736.3590,94812.9973,112017.1649,109835.3633,105873.9403,95591.4558
193334.9941,228667.5972,193402.7669,193808.6717,195168.5910,193334.8244,193335.1403,,,41540.0059,6207.4028,41472.2331,41066.3283,39706.4090,41540.1756,41539.8597
18344.1862,19557.8889,19008.8298,18432.5972,18476.3783,18344.1529,18344.1619,,,1655.8138,442.1111,991.1702,1567.4028,1523.6218,1655.8471,1655.8381
572434.3188,630566.6997,572434.2459,573964.2179,576288.3903,580419.1961,572434.3212,,,87565.6812,29433.3003,87565.7541,86035.7821,83711.6097,79580.8039,87565.6788
100099.4273,154325.2422,104837.0875,100631.6352,100152.5304,100272.1992,104839.7117,,,86820.5727,32594.7578,82082.9125,86288.3649,86767.4696,86647.8008,82080.2883
