Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
adult,fair_centroid,2,30,324786.2823,38.2265,0.1278,0.0001,3450.5057,3.9556,2.6591,0.0013,37157.7177,38.2265,0.1144,0.0001,0.5086,0.0002,0.4337,0.0002,0.395,0.0001,0.8121,0.0001
adult,postprocessing_nfp,8,30,197937.2257,1535.41,0.1577,0.0098,3569.7614,61.4501,1.5108,0.0444,164006.7743,1535.41,0.8287,0.0143,0.3693,0.0101,0.0901,0.0179,0.5654,0.0541,0.778,0.0328
adult,postprocessing_gini,8,30,198033.4456,1550.2818,0.1576,0.0098,3565.9428,61.9862,1.5113,0.0443,163910.5544,1550.2818,0.8278,0.0144,0.3693,0.0101,0.0901,0.0179,0.5654,0.0541,0.778,0.0328
adult,rawlsian,8,30,218261.383,8312.77,0.133,0.0163,2846.0029,268.1536,1.7918,0.156,143682.617,8312.77,0.6607,0.0622,0.3843,0.0379,0.1095,0.0035,0.4949,0.0151,0.7485,0.0122
compas,fair_centroid,2,30,195366.8384,6.5553,0.1727,0.0001,1899.5044,0.3789,2.0457,0.0002,39508.1616,6.5553,0.2022,0.0,0.2645,0.0001,0.1058,0.0002,0.8086,0.0003,0.7316,0.0001
compas,postprocessing_nfp,2,30,193355.2316,2.1392,0.1793,0.0,2016.988,0.1262,1.9973,0.0003,41519.7684,2.1392,0.2147,0.0,0.262,0.0001,0.0912,0.0003,0.8328,0.0006,0.7308,0.0001
compas,postprocessing_gini,2,30,193547.0663,9.4047,0.1786,0.0,2005.679,0.5539,2.0029,0.0005,41327.9337,9.4047,0.2135,0.0001,0.262,0.0001,0.0912,0.0003,0.8328,0.0006,0.7308,0.0001
compas,rawlsian,2,30,193335.0223,0.1268,0.1794,0.0,2018.1807,0.0075,1.9963,0.0002,41539.9777,0.1268,0.2149,0.0,0.2623,0.0001,0.0934,0.0003,0.8291,0.0006,0.7309,0.0001
german,fair_centroid,8,30,14427.8614,91.3326,0.0723,0.0044,54.7389,1.2496,2.4497,0.0616,5572.1386,91.3326,0.3863,0.0088,0.3266,0.0392,0.0756,0.0113,0.6092,0.0369,0.7665,0.0254
german,postprocessing_nfp,8,30,14286.4816,81.0147,0.072,0.0047,56.6814,1.1179,2.4178,0.062,5713.5184,81.0147,0.4,0.0079,0.3459,0.0324,0.068,0.0102,0.6274,0.0396,0.7866,0.0215
german,postprocessing_gini,2,30,18429.1316,0.3861,0.0785,0.0004,85.0679,0.0227,3.3144,0.0027,1570.8684,0.3861,0.0852,0.0,0.4461,0.0015,0.1754,0.0052,0.6931,0.0075,0.8613,0.0014
german,rawlsian,2,30,18344.1941,0.044,0.0817,0.0003,90.0827,0.0026,3.2338,0.0017,1655.8059,0.044,0.0903,0.0,0.4556,0.0015,0.2016,0.0016,0.6578,0.0021,0.8578,0.0008
credit,fair_centroid,2,30,575319.151,54.3752,0.1353,0.0,4415.3863,3.2523,2.475,0.001,84680.849,54.3752,0.1472,0.0001,0.6422,0.0001,0.0464,0.0002,0.9052,0.0004,0.9632,0.0
credit,postprocessing_nfp,2,30,572501.6981,0.0567,0.138,0.0,4584.7446,0.0034,2.4375,0.0001,87498.3019,0.0567,0.1528,0.0,0.6426,0.0,0.0471,0.0001,0.9042,0.0002,0.9632,0.0
credit,postprocessing_gini,2,30,572595.581,0.0752,0.138,0.0,4579.0744,0.0045,2.4392,0.0001,87404.419,0.0752,0.1526,0.0,0.6426,0.0,0.0471,0.0001,0.9042,0.0002,0.9632,0.0
credit,rawlsian,2,30,572434.3561,0.0148,0.1383,0.0,4588.813,0.0009,2.436,0.0001,87565.6439,0.0148,0.153,0.0,0.6422,0.0,0.0483,0.0,0.9018,0.0001,0.963,0.0
law,fair_centroid,4,30,103225.5207,952.6462,0.2662,0.0301,5051.6346,101.6162,1.2849,0.1075,83694.4793,952.6462,0.8109,0.0163,0.7184,0.0053,0.0254,0.0002,0.8211,0.0021,0.9777,0.0007
law,postprocessing_nfp,4,30,100775.7928,1424.3363,0.2702,0.0312,5327.1243,157.4032,1.2676,0.1097,86144.2072,1424.3363,0.8552,0.0253,0.7252,0.005,0.0251,0.0006,0.8271,0.003,0.9795,0.0006
law,postprocessing_gini,4,30,100881.288,1404.8857,0.2703,0.0311,5314.9757,155.011,1.2685,0.1092,86038.712,1404.8857,0.8532,0.0249,0.7252,0.005,0.0251,0.0006,0.8271,0.003,0.9795,0.0006
law,rawlsian,3,30,118167.3728,2332.358,0.267,0.0032,5442.6978,295.9971,1.3496,0.0005,68752.6272,2332.358,0.5824,0.0317,0.7636,0.0507,0.0192,0.0087,0.8914,0.0716,0.9848,0.0076
adult_race,fair_centroid,8,30,211625.0081,2318.2723,0.1442,0.0114,3060.6977,81.4857,1.6089,0.0517,150318.9919,2318.2723,0.7105,0.0189,0.183,0.003,0.0479,0.0019,0.6647,0.0091,0.5819,0.0062
adult_race,postprocessing_nfp,8,30,196405.0922,722.8276,0.1585,0.0093,3630.8394,29.0846,1.5095,0.0439,165538.9078,722.8276,0.8429,0.0068,0.1796,0.0035,0.045,0.002,0.6765,0.0076,0.5803,0.0066
adult_race,postprocessing_gini,8,30,196722.2341,725.0484,0.1581,0.0093,3618.0417,29.0815,1.5114,0.0439,165221.7659,725.0484,0.8399,0.0068,0.1796,0.0035,0.045,0.002,0.6765,0.0076,0.5803,0.0066
adult_race,rawlsian,8,30,218001.9676,8406.7047,0.1336,0.0166,2854.7451,271.0991,1.776,0.1561,143942.0324,8406.7047,0.6627,0.0629,0.1883,0.0047,0.0467,0.0003,0.6789,0.0049,0.5965,0.0094
adult_combined,fair_centroid,8,30,213923.624,1178.476,0.141,0.0121,2980.8623,40.2096,1.6011,0.0373,148020.376,1178.476,0.692,0.0093,0.4682,0.0416,0.0776,0.0147,0.5424,0.0584,0.8599,0.0467
