Dataset,Method,n_runs,runtime_sec
adult,FAIR_CENTROID,30,3369.29
adult,POSTPROCESSING_NFP,30,416.87
adult,POSTPROCESSING_GINI,30,9398.79
adult,RAWLSIAN,30,380.61
compas,FAIR_CENTROID,30,473.01
compas,POSTPROCESSING_NFP,30,84.29
compas,POSTPROCESSING_GINI,30,1002.87
compas,RAWLSIAN,30,81.14
german,FAIR_CENTROID,30,56.1
german,POSTPROCESSING_NFP,30,4.64
german,POSTPROCESSING_GINI,30,20.08
german,RAWLSIAN,30,4.59
credit,FAIR_CENTROID,30,4354.79
credit,POSTPROCESSING_NFP,30,598.59
credit,POSTPROCESSING_GINI,30,5885.32
credit,RAWLSIAN,30,600.67
law,FAIR_CENTROID,30,2168.9
law,POSTPROCESSING_NFP,30,177.63
law,POSTPROCESSING_GINI,30,3776.4
law,RAWLSIAN,30,184.04
adult_race,FAIR_CENTROID,30,13423.75
adult_race,POSTPROCESSING_NFP,30,391.63
adult_race,POSTPROCESSING_GINI,30,13199.97
adult_race,RAWLSIAN,30,404.42
adult_combined,FAIR_CENTROID,30,20315.19
adult_combined,POSTPROCESSING_NFP,30,427.04
adult_combined,POSTPROCESSING_GINI,30,1806.03
adult_combined,RAWLSIAN,30,440.36
compas_race,FAIR_CENTROID,30,235.66
compas_race,POSTPROCESSING_NFP,30,57.95
compas_race,POSTPROCESSING_GINI,30,547.03
compas_race,RAWLSIAN,30,58.14
compas_combined,FAIR_CENTROID,30,300.0
compas_combined,POSTPROCESSING_NFP,30,58.14
compas_combined,POSTPROCESSING_GINI,30,365.48
compas_combined,RAWLSIAN,30,59.4
law_race,FAIR_CENTROID,30,1445.67
law_race,POSTPROCESSING_NFP,30,189.15
law_race,POSTPROCESSING_GINI,30,4796.99
law_race,RAWLSIAN,30,209.41
law_combined,FAIR_CENTROID,30,2230.6
law_combined,POSTPROCESSING_NFP,30,196.17
law_combined,POSTPROCESSING_GINI,30,207.32
law_combined,RAWLSIAN,30,199.65
