Dataset,Method,n_runs,runtime_sec
adult,KMEANS,30,478.52
adult,FAIRLET,30,2851.98
adult,BFKM,30,524.4
compas,KMEANS,30,124.23
compas,FAIRLET,30,310.95
compas,BFKM,30,94.87
german,KMEANS,30,6.77
german,FAIRLET,30,7.25
german,BFKM,30,1.18
credit,KMEANS,30,692.14
credit,FAIRLET,30,3264.16
credit,BFKM,30,572.51
law,KMEANS,30,227.33
law,FAIRLET,30,1086.52
law,BFKM,30,179.71
adult_race,KMEANS,30,456.54
adult_race,FAIRLET,30,1511.54
adult_race,BFKM,30,407.73
adult_combined,KMEANS,30,495.69
adult_combined,FAIRLET,30,757.69
adult_combined,BFKM,30,435.37
compas_race,KMEANS,30,69.81
compas_race,FAIRLET,30,225.77
compas_race,BFKM,30,58.81
compas_combined,KMEANS,30,70.31
compas_combined,FAIRLET,30,91.95
compas_combined,BFKM,30,60.28
law_race,KMEANS,30,229.19
law_race,FAIRLET,30,418.52
law_race,BFKM,30,203.89
law_combined,KMEANS,30,209.53
law_combined,FAIRLET,30,371.99
law_combined,BFKM,30,361.39
