Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
adult,kmeans,8,30,196364.5482,720.6058,0.1586,0.0093,3632.4779,29.0072,1.509,0.0439,165579.4518,720.6058,0.8432,0.0067,0.3673,0.0091,0.0903,0.0179,0.562,0.0516,0.7746,0.0311
adult,fairlet,4,30,337596.5059,746.5477,0.0075,0.023,725.0521,23.8486,4.0757,0.351,24347.4941,746.5477,0.0721,0.0024,0.8132,0.0115,0.163,0.0261,0.4917,0.024,0.9301,0.0128
adult,bfkm,8,30,217959.1668,9938.746,0.137,0.0126,2860.6053,327.486,1.7942,0.1495,143984.8332,9938.746,0.6641,0.076,0.3863,0.0301,0.1003,0.0161,0.5271,0.0696,0.7689,0.0325
compas,kmeans,2,30,193334.8893,0.132,0.1794,0.0,2018.1885,0.0078,1.9963,0.0002,41540.1107,0.132,0.2149,0.0,0.2623,0.0001,0.0932,0.0003,0.8294,0.0006,0.7308,0.0001
compas,fairlet,2,30,228972.383,251.417,0.0161,0.0031,242.1512,10.576,4.6023,0.1569,5902.617,251.417,0.0258,0.0011,0.5745,0.0024,0.3696,0.014,0.4172,0.0092,0.7783,0.005
compas,bfkm,2,30,193402.9205,0.2045,0.1794,0.0,2014.1746,0.0121,1.9979,0.0,41472.0795,0.2045,0.2144,0.0,0.2623,0.0,0.0923,0.0003,0.8309,0.0004,0.731,0.0
german,kmeans,8,30,14171.3859,34.2046,0.0749,0.0045,58.2875,0.4821,2.3761,0.0505,5828.6141,34.2046,0.4113,0.0034,0.3295,0.0384,0.0734,0.0102,0.6108,0.0347,0.771,0.023
german,fairlet,2,30,19538.5544,46.8948,0.0214,0.0102,23.5758,2.4518,5.7125,0.3054,461.4456,46.8948,0.0236,0.0025,0.6475,0.0199,0.2652,0.0558,0.5529,0.0444,0.8853,0.0206
german,bfkm,2,30,18435.8155,189.9073,0.1065,0.0623,84.7876,10.9113,3.0138,0.5917,1564.1845,189.9073,0.085,0.0109,0.436,0.034,0.162,0.0564,0.6918,0.0282,0.8528,0.0191
credit,kmeans,2,30,572434.3126,0.0146,0.1383,0.0,4588.8156,0.0009,2.4359,0.0001,87565.6874,0.0146,0.153,0.0,0.6422,0.0,0.0483,0.0001,0.9017,0.0002,0.963,0.0
