Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
diabetes_gender,fair_centroid,2,15,3725129.9118,141.6781,0.0724,0.0002,4141.2595,3.9414,4.032,0.0023,155058.0882,141.6781,0.0416,0.0,0.8578,0.0,0.0074,0.0002,0.9853,0.0005,0.9957,0.0
diabetes_gender,postprocessing_nfp,2,30,3718765.4586,3.255,0.0742,0.0003,4318.6183,0.0909,3.9522,0.0008,161422.5414,3.255,0.0434,0.0,0.8584,0.0001,0.0138,0.0003,0.9727,0.0006,0.9957,0.0
diabetes_gender,postprocessing_gini,2,30,3718765.4586,3.255,0.0742,0.0003,4318.6183,0.0909,3.9522,0.0008,161422.5414,3.255,0.0434,0.0,0.8584,0.0001,0.0138,0.0003,0.9727,0.0006,0.9957,0.0
diabetes_gender,rawlsian,2,15,3718768.9413,1.1355,0.0745,0.0004,4318.5211,0.0317,3.9529,0.0011,161419.0587,1.1355,0.0434,0.0,0.8585,0.0001,0.0139,0.0003,0.9725,0.0007,0.9957,0.0
diabetes_race,fair_centroid,2,15,3577383.3861,181.7279,0.069,0.0002,3720.9605,5.0304,4.1539,0.0026,139667.6139,181.7279,0.039,0.0001,0.2519,0.0,0.0132,0.0007,0.9737,0.0013,0.7242,0.0
diabetes_race,postprocessing_nfp,2,30,3562632.2954,4.6102,0.075,0.0004,4130.9858,0.1287,3.9569,0.0009,154418.7046,4.6102,0.0433,0.0,0.2521,0.0,0.0151,0.0007,0.9701,0.0013,0.7244,0.0
diabetes_race,postprocessing_gini,2,30,3562703.5939,4.7629,0.0749,0.0004,4128.9958,0.1329,3.9578,0.0009,154347.4061,4.7629,0.0433,0.0,0.2521,0.0,0.0151,0.0007,0.9701,0.0013,0.7244,0.0
diabetes_race,rawlsian,2,15,3562614.6738,5.6492,0.0748,0.0004,4131.4777,0.1577,3.9562,0.0009,154436.3262,5.6492,0.0433,0.0,0.2521,0.0,0.015,0.001,0.9703,0.0019,0.7245,0.0
diabetes_combined,fair_centroid,2,15,3581931.2523,76.3162,0.0654,0.0001,3595.2276,2.1072,4.2112,0.0014,135119.7477,76.3162,0.0377,0.0,0.64,0.0001,0.0147,0.001,0.9707,0.002,0.9648,0.0
diabetes_combined,postprocessing_nfp,2,30,3562612.2831,4.636,0.0749,0.0004,4131.5444,0.1294,3.9565,0.0009,154438.7169,4.636,0.0433,0.0,0.6384,0.0001,0.0048,0.0012,0.9905,0.0023,0.9646,0.0
