Dataset,Method,n_runs,runtime_sec
diabetes_gender,KMEANS,30,9503.3
diabetes_gender,FAIRLET,30,39022.3
diabetes_gender,BFKM,30,11628.8
diabetes_race,KMEANS,30,8989.5
diabetes_race,FAIRLET,30,31763.4
diabetes_race,BFKM,30,11200.9
diabetes_combined,KMEANS,30,8761.8
diabetes_combined,FAIRLET,30,23174.6
diabetes_combined,BFKM,30,11034.8
dutch_gender,KMEANS,30,1706.6
dutch_gender,FAIRLET,30,11963.8
dutch_gender,BFKM,30,1543.0
meps_gender,KMEANS,30,604.4
meps_gender,FAIRLET,30,3654.5
meps_gender,BFKM,30,631.0
meps_race,KMEANS,30,609.8
meps_race,FAIRLET,30,2951.6
meps_race,BFKM,30,619.0
meps_combined,KMEANS,30,647.3
meps_combined,FAIRLET,30,1108.0
meps_combined,BFKM,30,624.8
