Dataset,Method,k,N_runs,Inertia_mean,Inertia_std,Silhouette_mean,Silhouette_std,Calinski_Harabasz_mean,Calinski_Harabasz_std,Davies_Bouldin_mean,Davies_Bouldin_std,BCSS_mean,BCSS_std,Variance_Ratio_mean,Variance_Ratio_std,Balance_mean,Balance_std,SPD_mean,SPD_std,Disparate_Impact_mean,Disparate_Impact_std,Entropy_mean,Entropy_std
diabetes_gender,kmeans,2,30,3718765.4586,3.255,0.0742,0.0003,4318.6183,0.0909,3.9522,0.0008,161422.5414,3.255,0.0434,0.0,0.8584,0.0001,0.0138,0.0003,0.9727,0.0006,0.9957,0.0
diabetes_gender,fairlet,2,30,3814459.8294,413.6257,0.0363,0.0008,1714.345,10.9741,6.3065,0.0206,65728.1706,413.6257,0.0172,0.0001,0.878,0.0009,0.0691,0.0007,0.8695,0.001,0.993,0.0001
diabetes_gender,bfkm,2,30,3725632.1004,15882.1803,0.0986,0.0814,4129.1556,437.4855,3.7,0.6574,154555.8996,15882.1803,0.0415,0.0044,0.8618,0.0102,0.0127,0.0036,0.9708,0.004,0.9958,0.0006
diabetes_race,kmeans,2,30,3562612.2831,4.636,0.0749,0.0004,4131.5444,0.1294,3.9565,0.0009,154438.7169,4.636,0.0433,0.0,0.2521,0.0,0.0153,0.0007,0.9697,0.0013,0.7244,0.0
diabetes_race,fairlet,2,30,3686341.3214,13255.2825,0.3952,0.4833,795.2153,346.1037,5.4692,3.8777,30709.6786,13255.2825,0.0083,0.0036,0.5948,0.0275,0.2165,0.1894,0.5019,0.1088,0.8104,0.0456
diabetes_race,bfkm,2,30,3570638.8288,19821.533,0.0942,0.0534,3911.0312,543.6035,3.7294,0.5947,146412.1712,19821.533,0.041,0.0057,0.2458,0.0187,0.0178,0.0094,0.9405,0.0761,0.7129,0.0335
diabetes_combined,kmeans,2,30,3562612.2831,4.636,0.0749,0.0004,4131.5444,0.1294,3.9565,0.0009,154438.7169,4.636,0.0433,0.0,0.6384,0.0001,0.0048,0.0012,0.9905,0.0023,0.9646,0.0
diabetes_combined,fairlet,2,30,3708247.8142,363.0563,-0.0545,0.0199,226.2547,9.3531,8.6627,0.2699,8803.1858,363.0563,0.0024,0.0001,0.7319,0.0056,0.1841,0.0079,0.6825,0.0088,0.9504,0.003
diabetes_combined,bfkm,2,30,3570632.049,19808.6088,0.0944,0.0538,3911.2157,543.2535,3.7299,0.5938,146418.951,19808.6088,0.041,0.0057,0.6431,0.0241,0.0051,0.0019,0.9811,0.0283,0.9651,0.0038
dutch_gender,kmeans,6,30,324612.554,2705.9343,0.2357,0.0066,10408.4014,184.2573,1.3807,0.0291,279587.446,2705.9343,0.8614,0.0152,0.8493,0.013,0.0326,0.0017,0.8501,0.0124,0.9929,0.0024
dutch_gender,fairlet,6,30,480835.8992,1144.57,0.0318,0.0085,3100.0701,36.0116,2.6768,0.0186,123364.1008,1144.57,0.2566,0.003,0.9979,0.0004,0.0009,0.0001,0.9952,0.0004,1.0,0.0
dutch_gender,bfkm,6,30,360980.0095,16235.6307,0.1929,0.0249,8182.4508,920.2221,1.5694,0.1199,243219.9905,16235.6307,0.6772,0.0762,0.7967,0.044,0.0366,0.0076,0.7971,0.0438,0.9851,0.0057
meps_gender,kmeans,4,30,327530.8022,0.0,0.3876,0.0,12891.7527,0.0,1.0801,0.0,365569.1978,0.0,1.1161,0.0,0.889,0.0,0.0232,0.0,0.8875,0.0,0.9964,0.0
meps_gender,fairlet,4,30,557719.9301,864.5241,0.0793,0.0016,2803.7445,22.246,2.556,0.0514,135380.0699,864.5241,0.2427,0.0019,0.9355,0.0069,0.0316,0.0021,0.8872,0.0076,0.996,0.0009
meps_gender,bfkm,4,30,362136.795,36251.7166,0.3439,0.0489,10774.4028,2184.5809,1.2078,0.1915,330963.205,36251.7166,0.9328,0.1891,0.8967,0.0181,0.0225,0.0027,0.8926,0.0101,0.9967,0.0009
meps_race,kmeans,4,30,327530.8022,0.0,0.3876,0.0,12891.7527,0.0,1.0801,0.0,365569.1978,0.0,1.1161,0.0,0.4756,0.0,0.0231,0.0,0.8856,0.0,0.9025,0.0
meps_race,fairlet,4,30,610985.4818,903.371,-0.0074,0.0015,1552.3569,19.3494,3.2606,0.0303,82114.5182,903.371,0.1344,0.0017,0.7961,0.0005,0.1978,0.0009,0.449,0.001,0.9059,0.0008
meps_race,bfkm,4,30,362174.3568,36257.7372,0.3439,0.0488,10772.1483,2184.814,1.2076,0.1917,330925.6432,36257.7372,0.9326,0.1892,0.4808,0.017,0.0245,0.0043,0.8831,0.0135,0.9049,0.0084
meps_combined,kmeans,4,30,327530.8022,0.0,0.3876,0.0,12891.7527,0.0,1.0801,0.0,365569.1978,0.0,1.1161,0.0,0.8492,0.0,0.0343,0.0,0.848,0.0,0.9924,0.0
meps_combined,fairlet,4,30,656058.1906,443.4946,-0.0938,0.003,652.1508,8.2492,3.5965,0.0541,37041.8094,443.4946,0.0565,0.0007,0.9018,0.0014,0.0531,0.0004,0.8197,0.0016,0.9891,0.0004
meps_combined,bfkm,4,30,362136.795,36251.7166,0.3439,0.0489,10774.4028,2184.5809,1.2078,0.1915,330963.205,36251.7166,0.9328,0.1891,0.8571,0.0263,0.0327,0.0046,0.8625,0.0209,0.9929,0.0019
