Dataset,Method,k,Balance,SPD,Disparate_Impact,Entropy
adult,kmeans,5,0.37228302039102756,0.15022248511164585,0.5237923503285036,0.7722887752796246
adult,fairlet,5,0.8411213552207482,0.1496797446352065,0.46965729152315605,0.9317886990886441
adult,bfkm,5,0.43915805191262425,0.13710643951789844,0.6369160880523216,0.8404354293320516
adult,fair_centroid,5,0.4384780622574945,0.14910921483833336,0.6376719124817886,0.8371659265087071
adult,postprocessing_nfp,5,0.44233069244542056,0.14524732996798312,0.6430916283836703,0.8418755599810714
adult,postprocessing_gini,5,0.44233069244542056,0.14524732996798312,0.6430916283836703,0.8418755599810714
adult,rawlsian,5,0.3853710733148362,0.18875373625908393,0.43406163753218496,0.731623515052328
compas,kmeans,2,0.2623152927103166,0.09300545769196794,0.8297246163243229,0.7309229717113811
compas,fairlet,2,0.5765814060346148,0.35763592268077904,0.42515170650160616,0.7825604970687984
compas,bfkm,2,0.2622440894882223,0.0920860901303282,0.8312665506281443,0.7309614240198259
compas,fair_centroid,2,0.26435128419582465,0.10604209110259355,0.8082326313346282,0.7314693112000401
compas,postprocessing_nfp,2,0.2619128367790336,0.09183976534739283,0.8316277704056156,0.730592744906857
compas,postprocessing_gini,2,0.2619128367790336,0.09183976534739283,0.8316277704056156,0.730592744906857
compas,rawlsian,2,0.2623513750228054,0.0936568005953392,0.8286315422860284,0.7308775856557472
german,kmeans,2,0.4522855053828505,0.1925666199158485,0.669933484691086,0.859156968306779
german,fairlet,2,0.6169354838709677,0.3446470313230482,0.48491343558189687,0.8502566947232144
german,bfkm,2,0.45557322027910263,0.20126227208976158,0.6583535435926733,0.8578975749979512
german,fair_centroid,2,0.45744949494949494,0.208835904628331,0.6478958016448386,0.8560073162023876
german,postprocessing_nfp,2,0.4483158434225893,0.18419822346891074,0.6806867736714499,0.8596452460519945
german,postprocessing_gini,2,0.4483158434225893,0.18419822346891074,0.6806867736714499,0.8596452460519945
german,rawlsian,2,0.4561486168136232,0.20271154745208042,0.6564405719832256,0.8576887688024885
credit,kmeans,2,0.6422123639894943,0.04832916407078555,0.9016936337781576,0.9629944749124011
credit,fairlet,2,0.7515964240102171,0.16141347511996537,0.71150073957748,0.9598526796455191
credit,bfkm,2,0.6422288557839175,0.04830025764615806,0.9017563011836112,0.9630017608515072
credit,fair_centroid,2,0.6421924284307141,0.04651207203629637,0.9049089594970998,0.9631575425980986
credit,postprocessing_nfp,2,0.642557116033688,0.047151505928120674,0.9040242333598304,0.9631993058437507
credit,postprocessing_gini,2,0.642557116033688,0.047151505928120674,0.9040242333598304,0.9631993058437507
credit,rawlsian,2,0.6421958614304912,0.04835807049541305,0.9016309581045823,0.9629871830602129
law,kmeans,4,0.7211122114613512,0.025992088299974028,0.8213519643531013,0.9782543837076166
law,fairlet,4,0.8881456707543665,0.07243783040602762,0.7578174781414009,0.98480934110077
law,bfkm,4,0.7009616424424989,0.025169648688387745,0.8233525109849362,0.9755177832073626
law,fair_centroid,4,0.7201276961975378,0.025438083030940147,0.8203523915793334,0.9778657186593898
law,postprocessing_nfp,4,0.7268863643451156,0.025281187826040386,0.8261197532207986,0.9797343133822931
law,postprocessing_gini,4,0.7268863643451156,0.025281187826040386,0.8261197532207986,0.9797343133822931
law,rawlsian,4,0.7044653026292012,0.02364111662539685,0.8334506960922634,0.9763194053084071
adult_race,kmeans,5,0.15529266336814204,0.06406423917019116,0.7154876724550384,0.5559183415084404
adult_race,fairlet,5,0.8130496576079935,0.21484199187390662,0.21048214305682814,0.8664787726041357
adult_race,bfkm,5,0.20280666618317475,0.07863406161595259,0.6170708154303287,0.5974494256948162
adult_race,fair_centroid,5,0.21690566511489434,0.07660317745702938,0.6383456458701338,0.6257615933782628
adult_race,postprocessing_nfp,5,0.21584092844831923,0.07365207267792698,0.6477780458459979,0.6268607642434012
adult_race,postprocessing_gini,5,0.21584092844831923,0.07365207267792698,0.6477780458459979,0.6268607642434012
adult_race,rawlsian,5,0.17292336057768404,0.0643811443565985,0.7532433690136113,0.5923008835140127
adult_combined,kmeans,5,0.5029144653059614,0.12092971054140492,0.568441596261817,0.8902369025001174
adult_combined,fairlet,5,0.9326923076923077,0.04077066467180498,0.8092648225892812,0.994054063788192
adult_combined,bfkm,5,0.4805129905605157,0.12616975241177783,0.5412872157644146,0.8921757092259665
adult_combined,fair_centroid,5,0.5348852372410337,0.11746911426421147,0.6091135279086959,0.9121070058871081
adult_combined,postprocessing_nfp,5,0.5443068194697934,0.11204080958438722,0.617009985876904,0.9168868702549998
adult_combined,postprocessing_gini,5,0.5443068194697934,0.11204080958438722,0.617009985876904,0.9168868702549998
adult_combined,rawlsian,5,0.463846148548826,0.15502283817951673,0.49864314376742325,0.7920804068913977
compas_race,kmeans,2,0.7008725572276719,0.046989449342390466,0.91020628197933,0.9755752346659509
compas_race,fairlet,2,0.7741884150222789,0.14290865732042202,0.7419179846057163,0.9688652911631218
compas_race,bfkm,2,0.7008725572276719,0.046989449342390466,0.91020628197933,0.9755752346659509
compas_race,fair_centroid,2,0.7057460682791323,0.06542347159994219,0.8770526952060149,0.9745548482236523
compas_race,postprocessing_nfp,2,0.700253807759313,0.04470226911403383,0.9144013758175992,0.975655169161592
compas_race,postprocessing_gini,2,0.700253807759313,0.04470226911403383,0.9144013758175992,0.975655169161592
compas_race,rawlsian,2,0.7009588716725735,0.047910825263766416,0.9085291460285836,0.9755116405733912
compas_combined,kmeans,2,0.3204514957770937,0.06071021589824141,0.8851825342892735,0.7964298445578957
compas_combined,fairlet,2,0.5912195121951219,0.3578880367940702,0.4449218659349118,0.8102368831343234
compas_combined,bfkm,2,0.320387321349639,0.05863336310532097,0.8888967403774496,0.7965740305569842
compas_combined,fair_centroid,2,0.32027389691372643,0.05321383473466995,0.8986667299446174,0.7969680533452836
compas_combined,postprocessing_nfp,2,0.319956081634479,0.055082283614113964,0.8951711060114187,0.7964962691991332
compas_combined,postprocessing_gini,2,0.319956081634479,0.055082283614113964,0.8951711060114187,0.7964962691991332
compas_combined,rawlsian,2,0.3203886368898524,0.061165008674941235,0.8843469089641418,0.7963237872309421
law_race,kmeans,3,0.07252120144058515,0.260837558852082,0.5720960146111586,0.3272855670431308
law_race,fairlet,3,0.6745774901114707,0.416167401138999,0.1609867578872601,0.7196511549867036
law_race,bfkm,3,0.08160153007705773,0.37872869490328903,0.2574074419004415,0.29974492928099844
law_race,fair_centroid,3,0.06601390456132723,0.30962940966444136,0.42375950857760736,0.29154476726085177
law_race,postprocessing_nfp,3,0.0722556549835663,0.258931816851434,0.5736914456705674,0.3267814661038912
law_race,postprocessing_gini,3,0.0722556549835663,0.258931816851434,0.5736914456705674,0.3267814661038912
law_race,rawlsian,3,0.0829643368153185,0.37965036949417685,0.25896820334304155,0.30271287125915397
law_combined,kmeans,3,0.5962288354871391,0.002951821701304813,0.9739935532198339,0.9530814973125673
