Dataset,Method,k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Dunn_Index,WCSS,BCSS,TSS,Variance_Ratio,Inter_Cluster_Distance,Intra_Cluster_Distance,Separation_Index
ADULT,FAIR_CENTROID,8,198111.9884485971,0.16737208862173852,3562.3361420170077,1.476994548351534,0,198111.9884485971,163832.0115514046,361943.99999999994,0.8269666708933825,0,0,0
ADULT,POSTPROCESSING_NFP,8,196710.26118076438,0.16844561141437459,3618.416918980807,1.469128487660572,0,196710.26118076438,165233.73881923725,361943.99999999994,0.8399853562666861,0,0,0
ADULT,POSTPROCESSING_GINI,8,197863.07067013675,0.168613526469328,3572.2369055208164,1.4893777693098704,0,197863.07067013675,164080.9293298651,361943.99999999994,0.8292650506946249,0,0,0
ADULT,RAWLSIAN,10,202156.82639931762,0.1319389907761429,2648.055716731878,1.824878598952683,0,202156.82639931762,159787.1736006826,361943.99999999994,0.7904119610834075,0,0,0
COMPAS,FAIR_CENTROID,2,193808.67169677484,0.1786428931940966,1990.2928923412726,2.0082044564782633,0,193808.67169677484,41066.32830322518,234875.0,0.21189107764731954,0,0,0
COMPAS,POSTPROCESSING_NFP,2,195168.591022,0.17426066797730372,1910.975006671605,2.046735678520409,0,195168.591022,39706.40897800002,234875.0,0.20344671634958,0,0,0
COMPAS,POSTPROCESSING_GINI,2,193334.8243810405,0.17946123068300193,2018.1923812125751,1.9966484809604295,0,193334.8243810405,41540.17561895956,234875.0,0.2148613202611067,0,0,0
COMPAS,RAWLSIAN,2,193335.14030729944,0.1793771056595822,2018.1737343421012,1.9961765036631396,0,193335.14030729944,41539.859692700586,234875.0,0.21485933507315033,0,0,0
GERMAN,FAIR_CENTROID,8,14281.740069749063,0.08222266061089469,56.74092355598873,2.341453335461865,0,14281.740069749063,5718.259930250936,20000.0,0.4003895815442753,0,0,0
GERMAN,POSTPROCESSING_NFP,8,14171.366099772618,0.08627065989355905,58.28659594603577,2.30073453616271,0,14171.366099772618,5828.633900227386,20000.0,0.41129654397404264,0,0,0
GERMAN,POSTPROCESSING_GINI,8,14168.82425889992,0.0864191511563099,58.32247545207595,2.2991084551302556,0,14168.82425889992,5831.175741100082,20000.0,0.4115497259723101,0,0,0
GERMAN,RAWLSIAN,2,18344.161916704383,0.08154777792166816,90.08459555866756,3.23401441341605,0,18344.161916704383,1655.8380832956175,20000.0,0.09026512581028814,0,0,0
CREDIT,FAIR_CENTROID,5,461881.7828068331,0.12729900996979687,3216.491830764781,2.1496878325613085,0,461881.7828068331,198118.21719316574,659999.9999999998,0.4289370669464619,0,0,0
CREDIT,POSTPROCESSING_NFP,4,485874.4024467551,0.1311208932285408,3583.279545704876,2.21690520344177,0,485874.4024467551,174125.5975532441,659999.9999999998,0.3583757380022212,0,0,0
CREDIT,POSTPROCESSING_GINI,5,464273.57406580145,0.12813976257602835,3161.290278963942,2.151726170362148,0,464273.57406580145,195726.42593419756,659999.9999999998,0.42157563313404794,0,0,0
CREDIT,RAWLSIAN,2,572434.3211574439,0.13831896107461755,4588.815060228592,2.43585136805446,0,572434.3211574439,87565.67884255647,659999.9999999998,0.15297070005429,0,0,0
LAW,FAIR_CENTROID,4,100631.63515400587,0.2804894537017238,5341.45138942998,1.2310548771952288,0,100631.63515400587,86288.36484599349,186920.00000000003,0.8574675817792135,0,0,0
LAW,POSTPROCESSING_NFP,4,100152.53037013179,0.2815142470959419,5396.803144331886,1.2252953460718548,0,100152.53037013179,86767.46962986761,186920.00000000003,0.8663532444882095,0,0,0
LAW,POSTPROCESSING_GINI,4,100272.19919065067,0.2812119048729259,5382.928051826648,1.2255161766138123,0,100272.19919065067,86647.8008093487,186920.00000000003,0.864125864484158,0,0,0
LAW,RAWLSIAN,6,82806.91842220258,0.19275326859888794,4698.778989561063,1.4182245150716735,0,82806.91842220258,104113.08157779687,186920.00000000003,1.257299312201933,0,0,0
