Dataset,Method,k,ARI,NMI,AMI,FMI,V-Measure
ADULT,FAIR_CENTROID,8,0,0,0,0,0
ADULT,POSTPROCESSING_NFP,8,0,0,0,0,0
ADULT,POSTPROCESSING_GINI,8,0,0,0,0,0
ADULT,RAWLSIAN,10,0,0,0,0,0
COMPAS,FAIR_CENTROID,2,0,0,0,0,0
COMPAS,POSTPROCESSING_NFP,2,0,0,0,0,0
COMPAS,POSTPROCESSING_GINI,2,0,0,0,0,0
COMPAS,RAWLSIAN,2,0,0,0,0,0
GERMAN,FAIR_CENTROID,8,0,0,0,0,0
GERMAN,POSTPROCESSING_NFP,8,0,0,0,0,0
GERMAN,POSTPROCESSING_GINI,8,0,0,0,0,0
GERMAN,RAWLSIAN,2,0,0,0,0,0
CREDIT,FAIR_CENTROID,5,0,0,0,0,0
CREDIT,POSTPROCESSING_NFP,4,0,0,0,0,0
CREDIT,POSTPROCESSING_GINI,5,0,0,0,0,0
CREDIT,RAWLSIAN,2,0,0,0,0,0
LAW,FAIR_CENTROID,4,0,0,0,0,0
LAW,POSTPROCESSING_NFP,4,0,0,0,0,0
LAW,POSTPROCESSING_GINI,4,0,0,0,0,0
LAW,RAWLSIAN,6,0,0,0,0,0
