Dataset,Method,k,Balance,SPD,Disparate Impact,Entropy
ADULT,KMEANS,5,0.37228302039102756,0.15022248511164585,0.5237923503285036,0.7722887752796246
ADULT,FAIRLET,3,0.7666666666666666,0.18570863803771412,0.5283287676583408,0.9264499457640284
ADULT,BFKM,6,0.3500740396970569,0.15102587403097703,0.42522276402003606,0.7124979089002101
COMPAS,KMEANS,2,0.2623152927103166,0.09300545769196794,0.8297246163243229,0.7309229717113811
COMPAS,FAIRLET,2,0.576191936225663,0.359935832151395,0.4236482281185756,0.7817660930310316
COMPAS,BFKM,2,0.2622440894882223,0.0920860901303282,0.8312665506281443,0.7309614240198259
GERMAN,KMEANS,6,0.38395273773266786,0.10261804581580176,0.5754053553851348,0.7569496040840423
GERMAN,FAIRLET,3,0.7377501725327812,0.2451612903225806,0.45773503417262185,0.8902435849908347
GERMAN,BFKM,2,0.45592986471023755,0.1962599345488546,0.6660082997315715,0.8601313420827351
CREDIT,KMEANS,2,0.6422123639894943,0.04832916407078555,0.9016936337781576,0.9629944749124011
CREDIT,FAIRLET,2,0.7443522549905528,0.17167525586272825,0.7004638629553265,0.9565771288602405
CREDIT,BFKM,2,0.6422288557839175,0.04830025764615806,0.9017563011836112,0.9630017608515072
LAW,KMEANS,4,0.7211122114613512,0.025992088299974028,0.8213519643531013,0.9782543837076166
LAW,FAIRLET,2,0.8214179768614654,0.10675048691414593,0.8023542589373136,0.982815564394032
LAW,BFKM,3,0.6921787096075827,0.031432484148853905,0.7904050587219476,0.9741943307787345
