Dataset,Method,k,Balance,SPD,Disparate Impact,Entropy
ADULT,FAIR_CENTROID,8,0.353709425972093,0.11179394559994735,0.5031228982972397,0.7341286254707324
ADULT,POSTPROCESSING_NFP,8,0.35955393674648606,0.11070201341150726,0.5116908996926519,0.7395152885302556
ADULT,POSTPROCESSING_GINI,8,0.3908993494750911,0.10445183157705495,0.5242592950419053,0.7740229434468024
ADULT,RAWLSIAN,10,0.4069259536165849,0.08721363004970577,0.5272360712231133,0.7678821012665007
COMPAS,FAIR_CENTROID,2,0.25743718826767886,0.09643792040042026,0.8216349351286569,0.7243345149168854
COMPAS,POSTPROCESSING_NFP,2,0.2589315270426372,0.07483212407947121,0.860022677198178,0.729003199420081
COMPAS,POSTPROCESSING_GINI,2,0.26217334475923376,0.09384995028440704,0.8282769595283919,0.7306353452055716
COMPAS,RAWLSIAN,2,0.2623513750228054,0.0936568005953392,0.8286315422860284,0.7308775856557472
GERMAN,FAIR_CENTROID,8,0.4077804355374248,0.0621785881252922,0.6647072892528443,0.8077913781327991
GERMAN,POSTPROCESSING_NFP,8,0.3869996824001525,0.05388031790556335,0.6792727676021573,0.806251207504972
GERMAN,POSTPROCESSING_GINI,8,0.3872296086204442,0.05388031790556335,0.6797845388666777,0.8061208391941654
GERMAN,RAWLSIAN,2,0.4561486168136232,0.20271154745208042,0.6564405719832256,0.8576887688024885
CREDIT,FAIR_CENTROID,5,0.6762794910184039,0.017829482710242598,0.8951915606788455,0.9687238812596531
CREDIT,POSTPROCESSING_NFP,4,0.6498100472750041,0.022695593204419093,0.9047816754399888,0.9644573178678663
CREDIT,POSTPROCESSING_GINI,5,0.6885277495045359,0.018848385877138333,0.8949230403316462,0.9708722419682649
CREDIT,RAWLSIAN,2,0.6421958614304912,0.04835807049541305,0.9016309581045823,0.9629871830602129
LAW,FAIR_CENTROID,4,0.7213790071226702,0.02615362854358827,0.8187187423917921,0.9781340180061673
LAW,POSTPROCESSING_NFP,4,0.7237842671524584,0.025818545462588806,0.8195051663725784,0.9785550345464312
LAW,POSTPROCESSING_GINI,4,0.7333873018470977,0.02464106889442258,0.8241380228918426,0.9806168048966561
LAW,RAWLSIAN,6,0.7246384987702009,0.01892526144350108,0.8569891978302829,0.9789060218523232
