Dataset,Method,k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Dunn_Index,WCSS,BCSS,TSS,Variance_Ratio,Inter_Cluster_Distance,Intra_Cluster_Distance,Separation_Index
ADULT,KMEANS,5,243602.07331721333,0.1583670733942621,3662.5688714125677,1.5923391042270159,0,243602.07331721333,118341.9266827851,361943.99999999994,0.48580016200717147,0,0,0
ADULT,FAIRLET,3,343669.79313075065,0.02710194274979102,801.8333528079542,4.202996722679578,0,343669.79313075065,18274.206869249367,361943.99999999994,0.05317373605278386,0,0,0
ADULT,BFKM,6,255462.5897848767,0.11574276679576749,2513.912827041519,2.134232242943712,0,255462.5897848767,106481.41021512258,361943.99999999994,0.4168180174826766,0,0,0
COMPAS,KMEANS,2,193334.9941104753,0.1793716899944829,2018.182363288803,1.9961618512405093,0,193334.9941104753,41540.005889524735,234875.0,0.21486025373031012,0,0,0
COMPAS,FAIRLET,2,229201.17668591207,0.012710223687610139,232.52159155474172,4.6375991271803665,0,229201.17668591207,5673.82331408792,234875.0,0.024754773933220665,0,0,0
COMPAS,BFKM,2,193402.76687722403,0.17934875660165425,2014.1836231822313,1.9979176171021185,0,193402.76687722403,41472.23312277606,234875.0,0.21443453882489422,0,0,0
GERMAN,KMEANS,6,15028.119659689877,0.09131271711418348,65.77069081402628,2.3297439332894645,0,15028.119659689877,4971.880340310125,20000.0,0.3308384849800115,0,0,0
GERMAN,FAIRLET,3,19208.64613276776,-0.0009521358208007522,20.53710084972182,5.413983867479239,0,19208.64613276776,791.3538672322378,20000.0,0.04119779508469774,0,0,0
GERMAN,BFKM,2,18360.552980433313,0.08110943705369587,89.113226996551,3.252271075318549,0,18360.552980433313,1639.4470195666884,20000.0,0.08929181061778659,0,0,0
CREDIT,KMEANS,2,572434.3188359053,0.13831423113523478,4588.815200497298,2.4359533020462454,0,572434.3188359053,87565.6811640949,659999.9999999998,0.15297070473022528,0,0,0
CREDIT,FAIRLET,2,630535.5610773509,0.03802415852188027,1401.7833304935607,4.399450815206343,0,630535.5610773509,29464.438922649337,659999.9999999998,0.04672922629820524,0,0,0
CREDIT,BFKM,2,572434.2653448074,0.13831553290934473,4588.818432460909,2.4360809543924846,0,572434.2653448074,87565.73465519273,659999.9999999998,0.1529708124695283,0,0,0
LAW,KMEANS,4,100099.42733030036,0.2816848031537078,5402.97084383752,1.2268711464566406,0,100099.42733030036,86820.57266969909,186920.00000000003,0.8673433503591911,0,0,0
LAW,FAIRLET,2,167157.84191056457,0.09667711995080261,2209.6165544489686,2.67926488183703,0,167157.84191056457,19762.158089435372,186920.00000000003,0.11822453474847344,0,0,0
LAW,BFKM,3,114874.14957751163,0.262490759441864,5860.60877707457,1.3486492942889268,0,114874.14957751163,72045.85042248828,186920.00000000003,0.627172002469321,0,0,0
